ancien_cip13;ancien_code_barres;garde_cip13;garde_code_barres;regle;libelle
3400938499773;3400938499773;3400930318423;3400930318423;B1 groupe 61 : 3849977 remplace par 3031842;MYFENAX 500MG CPR BT50
3400936774476;3400936774476;3400930315729;3400930315729;B1 groupe 62 : 3677447 remplace par 3031572;EUROBIOL 12500U/DOS GLE FL20G
3400922019031;3400922019031;3400930307991;3400930307991;B1 groupe 63 : 2201903 remplace par 3030799;CANDESARTAN EG 16MG CPR BT90
3400930065228;3400930065228;3400930248676;3400930248676;B1 groupe 67 : 3006522 remplace par 3024867;IBUPROFENE ZTC 200MG CPR BT20
3400936678514;3400936678514;3400930313916;3400930313916;B1 groupe 68 : 3667851 remplace par 3031391;GABAPENTINE* TVC 300MG GELU 90
3400930153727;3400930153727;3400930299876;3400930299876;B1 groupe 69 : 3015372 remplace par 3029987;IVABRADINE TVS 5MG CPR BT56 DU
3400922495194;3400922495194;3400930306383;3400930306383;B1 groupe 70 : 2249519 remplace par 3030638;CELECOXIB TVC 100MG GELU BT30
3400939332703;3400939332703;3400930266090;3400930266090;B1 groupe 72 : 3933270 remplace par 3026609;LOSARTAN EG 100MG CPR BT30
3400938291827;3400938291827;3400930300503;3400930300503;B1 groupe 73 : 3829182 remplace par 3030050;FEXOFENADINE VIA 180MG CPR 15
3400930265444;3400930265444;3400930301760;3400930301760;B1 groupe 74 : 3026544 remplace par 3030176;DIMETHYL FUM.EG 120MG GELU 14
3400920128179;3401520128170;3400964176327;3664490022507;B1 groupe 75 : 2012817 remplace par 6417632;ODM5 SOL OPHT FL 10ML
3400930094631;3400930094631;3400930293034;3400930293034;B1 groupe 77 : 3009463 remplace par 3029303;TADALAFIL TVC 20MG CPR BT4 DU
3400934828096;3400934828096;3400930287606;3400930287606;B1 groupe 78 : 3482809 remplace par 3028760;CONTRAMAL LP 200MG CPR BT30
3400922095950;3400922095950;3400930297582;3400930297582;B1 groupe 79 : 2209595 remplace par 3029758;TRAMADOL/PAR.VIA 37,5/325 CP20
3400949446438;3400949446438;3400930305492;3400930305492;B1 groupe 80 : 4944643 remplace par 3030549;ATORVASTATINE TVS 80MG CPR B90
3400934827846;3400934827846;3400930287552;3400930287552;B1 groupe 81 : 3482784 remplace par 3028755;CONTRAMAL LP 150MG CPR BT30
3400927726989;3400927726989;3400930080610;3400930080610;B1 groupe 82 : 2772698 remplace par 3008061;BISOPROLOL QVR 5MG CPR BT30
3400935755407;3400935755407;3400930231128;3400930231128;B1 groupe 85 : 3575540 remplace par 3023112;TIGREAT 2,5MG CPR BT6
3400943259577;3401043259573;3400989863370;8053689863376;B1 groupe 87 : 4325957 remplace par 8986337;IALUSET CR FL PRES 100G T
3400949644049;3400949644049;3400930029985;3400930029985;B1 groupe 88 : 4964404 remplace par 3002998;ALFA-AMYLASE BGC 3000U CPR18DU
3400949445608;3400949445608;3400930305485;3400930305485;B1 groupe 89 : 4944560 remplace par 3030548;ATORVASTATINE TVS 80MG CPR B28
3400949757381;3400949757381;3400930318256;3400930318256;B1 groupe 91 : 4975738 remplace par 3031825;OMEPRAZOLE ARL 10MG GELU FL28
