Gamme;Nom;Laboratoire;cip7;cip13;EAN;Prix;Remise client;Prix remisé;Quantité minimum;Quantité par multiple
ELASTOPLAST;Universal bandes 10x6cm Bte/10;ELASTOPLAST;6233575;;4005800271663;4.2;40;2.5200;1.0000;0.0000
PRORHINEL;Spray eau de mer Aloé Véra enfant/adulte Spr/100ml;GSK - HALEON;8175667;3401081756676;3401081756676;7.27;29;5.1600;1.0000;0.0000
FLECTOR TISSUGEL;EP 1% Bte/5;IBSA;3782233;3400937822336;3400937822336;13.75;18;11.2800;12.0000;0.0000
FLECTOR TISSUGEL;EP 1% Bte/10;IBSA;3782256;3400937822565;3400937822565;24.7;18;20.2500;6.0000;0.0000
ANYCARE;Pilulier 7 jours;AGETI;;;3760169127310;1.6;23;1.2320;1.0000;0.0000
ANYCARE;Pilulier journalier;AGETI;;;3760169127341;1.15;23;0.8900;1.0000;0.0000
PULMOLL;Classic pastilles à sucer Bte/75g;PULMOLL;5359993;;4002590703909;3.98;13;3.4600;1.0000;0.0000
PULMOLL;Pastilles à sucer ss sucre menthol eucalytus Bte/45g;PULMOLL;5360016;;4002590703947;3.98;13;3.4600;1.0000;0.0000
EAU DE MELISSE;Fl/10cl;EAU DE MELISSE;6202265;3401562022658;3401562022658;9.62;8;8.8500;1.0000;0.0000
VOGALIB;7,5mg Lyophilisats oraux sans sucre Bte/8;TEVA SANTE;3634828;3400936348288;3400936348288;7.85;23;6.0400;1.0000;0.0000
ELMEX SENSITIVE PROFESSIONAL;Bain de bouche Fl/400ml;COLGATE GABA;4070925;3401540709250;8714789834740;7.8;26;5.7700;1.0000;0.0000
ELMEX;Fil dentaire 50m blist/1;COLGATE GABA;4093731;;8718951143098;5.4;26;4.0000;1.0000;0.0000
CINQ SUR CINQ;Lotion baume anti-poux & lentes Fl/100ml;CHAUVIN BAUSCH & LOMB;8149291;3401581492913;3401581492913;18;28;12.9600;1.0000;0.0000
CINQ SUR CINQ;Shampoing gel anti-poux Fl/100ml;CHAUVIN BAUSCH & LOMB;8149316;3401581493163;3401581493163;14.9;28;10.7280;1.0000;0.0000
CINQ SUR CINQ;Lotion moustique Spray/100ml;CHAUVIN BAUSCH & LOMB;6075074;3401560750744;3401560750744;11.5;28;8.2800;1.0000;0.0000
HYDRALIN GYN;Solution usage intime Fl/100ml;BAYER CONSUMER HEALTH;2021532;3401320215322;3401320215322;6.2;14;5.3300;6.0000;0.0000
HYDRALIN QUOTIDIEN;Solution usage intime Fl/100ml;BAYER CONSUMER HEALTH;2021503;3401320215032;3401320215032;4.02;14;3.4600;6.0000;0.0000
SOLAIRE;Crème minérale SPF50+ Tube/50ml;AVENE;9584132;3401395841327;3282779355773;15.80;15;13.4300;1.0000;0.0000
SOLAIRE;Crème SPF30 Tube/50ml;AVENE;4839679;3401348396799;3282779228633;15;15;12.7500;1.0000;0.0000
BEBE;Baume pectoral Tube/40ml;GIFRER;2852109;3401528521096;3401528521096;10.13;40;6.0800;3.0000;0.0000
STERIMAR SINUSITE;Nez très bouché Pompe/20ml;SOFIBEL - FUMOUZE;2945124;3331300097788;3331300097788;10.61;30;7.4270;3.0000;0.0000
STERIMAR STOP & PROTECT;Irritations & sec Pompe/20ml;SOFIBEL - FUMOUZE;2945147;3331300097795;3331300097795;10.61;30;7.4270;3.0000;0.0000
STERIMAR STOP & PROTECT;Allergies Pompe/20ml;SOFIBEL - FUMOUZE;8148972;3331300097771;3331300097771;10.61;30;7.4270;3.0000;0.0000
ANTHELIOS;SPF50+ Dermo-pediatrics lait bébé Tube/50ml;LA ROCHE POSAY;6139673;;3337872419904;16.3;18;13.3700;1.0000;0.0000
DEODORANT;Anti-transpirant 48h aérosol Fl/125ml;VICHY;7710147;3401377101470;3337871310592;8.15;12;7.1700;1.0000;0.0000
DEODORANT;Anti-transpirant peau sensible roll-on Fl/50ml;VICHY;4732674;3401347326742;3337871320324;8.15;12;7.1700;1.0000;0.0000
DEODORANT;Détranspirant intensif 72h Roll-on/50ml;VICHY;2124657;3401321246578;3337871324001;8.6;12;7.5680;1.0000;0.0000
DEODORANT;Détranspirant intensif 48h Roll-on/50ml;VICHY;7710271;3401377102712;3337871310868;8.15;12;7.1700;1.0000;0.0000
DEODORANT;Stick 24h sans sels d'aluminium Stick/40ml;VICHY;4746854;3401347468541;3337871320447;8.15;12;7.1700;1.0000;0.0000
DEODORANT;Anti-traces roll-on Fl/50ml;VICHY;5384376;3401353843769;3337871324599;8.15;12;7.1700;1.0000;0.0000
VICHY HOMME;Anti transpirant vaporisateur Fl/100ml;VICHY;4786546;;3337871320331;8.6;12;7.5680;1.0000;0.0000
VICHY HOMME;Peaux sensibles 48h Roll-on/50ml;VICHY;4786552;3401347865524;3337871320379;8.15;12;7.1700;1.0000;0.0000
DEODORANT;Anti-traces aérosol Fl/125ml;VICHY;5384382;3401353843820;3337871324582;8.15;12;7.1700;1.0000;0.0000
VICHY HOMME;Anti-transpirant 72h 2Roll-on/50ml;VICHY;2593642;3401325936420;3433425000640;16.3;19;13.2000;1.0000;0.0000
VICHY HOMME;Peaux sensibles 48h 2Roll-on/50ml;VICHY;2593636;3401325936369;3433425000657;16.3;19;13.2000;1.0000;0.0000
NUTRILOGIE;Nutrilogie 1 Pot/50ml;VICHY;7478294;3401374782948;3337871307738;15.2;12;13.3760;1.0000;0.0000
NUTRILOGIE;Nutrilogie 2 Pot/50ml;VICHY;7478302;3401374783020;3337871307745;15.6;12;13.7300;1.0000;0.0000
VICHY HOMME;Sensi-baume Tube/75ml;VICHY;4632820;3401346328204;3337871318888;15;16;12.6000;1.0000;0.0000
VICHY HOMME;Gel douche Tube/200ml;VICHY;4786517;3401347865173;3337871320355;7.4;16;6.2200;1.0000;0.0000
VICHY HOMME;Gel rasage peaux sensibles Fl/150ml;VICHY;4450177;;3337871318895;6.7;16;5.6300;1.0000;0.0000
VICHY HOMME;Mousse à raser peaux sensibles Fl/200ml;VICHY;4450160;3401344501609;3337871318901;6.7;16;5.6300;1.0000;0.0000
CINQ SUR CINQ;Tropic lotion anti-moustique Spray/75ml;CHAUVIN BAUSCH & LOMB;7119879;3401571198795;3401571198795;10.15;28;7.3080;1.0000;0.0000
GINKOR MEMO;Gélules Bte/60;BOUCHARA;2853511;3401528535116;3401528535116;14.4;22;11.2300;1.0000;0.0000
ACETYLCYSTEINE;200mg toux grasse sachet Bte/20;EG LABO;3756098;3400937560986;3400937560986;4.18;38;2.5916;1.0000;0.0000
ACETYLCYSTEINE;200mg sans sucre toux grasse sachet Bte/18;EG LABO;4939429;3400949394296;3400949394296;3.72;38;2.3100;1.0000;0.0000
ATOVAQUONE/PROGUANIL;250mg/100mg comprimés pelliculés Bte/12;EG LABO;2247319;3400922473192;3400922473192;16.81;44;9.4100;1.0000;0.0000
BRONCHOKOD 2%;(DLC 8 MOIS) Enfants sirop Fl/125ml;EG LABO;3550250;3400935502506;3400935502506;3.15;27;1.5750;1.0000;0.0000
CETIRIZINE;RUPTURE LABO (INDETERMINEE) 10mg comprimes à sucer Bte/7;EG LABO;3708107;3400937081078;3400937081078;2.82;44;1.5792;1.0000;0.0000
DESOGESTREL / ETHINYLESTRADIOL;RUPTURE LABO (INDETERMINEE) 150μg/20μg comprimés Bte/63;EG LABO;3000542;3400930005422;3400930005422;13.85;43;7.8945;1.0000;0.0000
DESOGESTREL / ETHINYLESTRADIOL;RUPTURE LABO (INDETERMINEE) 50μg/30μg comprimés Bte/63;EG LABO;3000565;3400930005651;3400930005651;13.85;43;7.8945;1.0000;0.0000
DIACEREINE;Gélules 50mg Bte/30;EG LABO;3934507;3400939345079;3400939345079;11;44;6.1600;1.0000;0.0000
DIOSMINE;600mg comprimés pelliculés Bte/30;EG LABO;3559239;3400935592392;3400935592392;6.77;44;3.7900;1.0000;0.0000
FINASTERIDE;1mg comprimés Bte/28;EG LABO;3921700;3400939217000;3400939217000;21.17;44;11.8600;1.0000;0.0000
GESTODENE / ETHINYLESTRADIOL;RUPTURE LABO (INDETERMINEE) 60μg/15μg cp pelliculés Bte/84;EG LABO;2201470;3400922014708;3400922014708;15.3;43;8.7210;1.0000;0.0000
HEXETIDINE;0,1% solution pour bain de bouche Fl/200ml;EG LABO;2225298;3400922252988;3400922252988;5.12;43;2.9200;1.0000;0.0000
KENDIX (ACICLOVIR);5% crème Tube/2g;EG LABO;3494882;3400934948824;3400934948824;5.25;43;2.9925;1.0000;0.0000
ORLISTAT;120mg gélules Bte/84;EG LABO;2193463;3400921934632;3400921934632;72.62;43;41.3900;1.0000;0.0000
PANTOPRAZOLE;20mg comprimés gastro-résistants Bte/14;EG LABO;2179776;3400921797763;3400921797763;7.44;44;4.1700;1.0000;0.0000
PANTOPRAZOLE;20mg comprimés gastro-résistants Bte/7;EG LABO;2179753;3400921797534;3400921797534;4.23;44;2.3700;1.0000;0.0000
PIRACETAM;800mg comprimés pelliculés sécables Bte/45;EG LABO;3497194;3400934971945;3400934971945;6.5;43;3.7100;1.0000;0.0000
SILDENAFIL;100mg comprimés Bte/8;EG LABO;2183163;3400921831634;3400921831634;29.84;73;8.0600;1.0000;0.0000
SILDENAFIL;50mg comprimés Bte/8;EG LABO;2183105;3400921831054;3400921831054;27.54;73;7.4400;1.0000;0.0000
TRIMETAZIDINE;RUPTURE LABO (INDETERMINEE) 35mg comprimés Bte/60;EG LABO;3799707;3400937997072;3400937997072;10.06;43;5.7342;1.0000;0.0000
PANAURETTE;Spray auriculaire Spr/30ml;ZAMBON;5137301;3401051373018;3401051373018;6.81;21;5.3799;1.0000;0.0000
ATODERM;Huile lavante Fl pompe/1L;BIODERMA;2852084;3401528520846;3401528520846;17.2;20;13.7600;1.0000;0.0000
ATODERM;Intensive baume Fl pompe/500ml;BIODERMA;6165977;;3701129802076;21.31;20;17.0500;1.0000;0.0000
ATODERM;Intensive baume Tube/75ml;BIODERMA;6165978;;3701129802083;7.37;18;6.0400;1.0000;0.0000
AMILAB;Stick soin 2+1 gratuit;PROCTER & GAMBLE HEALTH;4809017;3401548090176;3401548090176;11.11;24;8.4436;3.0000;0.0000
CREME VISAGE;Soin Calendula bébé Tube/50ml;WELEDA;4358520;;3596204358520;6.6;17;5.4800;1.0000;0.0000
DUREX LOVE;Préservatifs Bte/6;DUREX;4328281;3401543282811;5038483225400;5.64;35;3.6700;1.0000;0.0000
DUREX CLASSIC;Préservatifs Jeans Bte/3;DUREX;7680676;3401076806768;5038483448083;2.35;35;1.5300;1.0000;0.0000
DUREX SENSILUBE;Lubrifiant Tube/40ml;DUREX;6129638;;3059948002178;13.04;17;10.8200;1.0000;0.0000
DUREX PLAYGEL;(DLC 8 MOIS) Gel de massage Sensuel Fl/200ml;DUREX;9754858;;5038483965962;14.1;35;7.0500;1.0000;0.0000
DUREX PLAYGEL;Lubrifiant Sensitive Fl/50ml;DUREX;7831678;;5038483364345;9.69;35;6.3000;1.0000;0.0000
DUREX PLAYGEL;Gel de massage douceur Aloé Vera Fl/200ml;DUREX;4366293;;5038483238189;14.1;35;9.1700;1.0000;0.0000
BLOXINUS;Spray nasal Spr/20ml;CHAUVIN BAUSCH & LOMB;5162121;3401051621218;3401051621218;13.3;27;9.7090;1.0000;0.0000
ANYCARE;Pilulier hebdomadaire;AGETI;;;3760169127303;8.57;23;6.6000;1.0000;0.0000
ANYCARE;Pilulier 3 jours;AGETI;;;3760169127327;2.2;23;1.6900;1.0000;0.0000
SMECTALIA;3g Poudre suspension buvable Bte/12 Sticks;MAYOLY PHARMA;3000787;3400930007877;3400930007877;5.88;14;5.0568;1.0000;0.0000
BLEDINA BLEDINE;Ma 1ère Blédine nature 250g;GALLIA;6174675;;3041090839993;3.62;34;2.3892;0.0000;0.0000
BICARE PLUS;Dentifrice Tube/75ml;GIFRER;;3401360065840;3401360065840;5.57;40;3.3400;3.0000;0.0000
PURESSENTIEL CIRCULATION;Gel circulation Tube/125ml;PURESSENTIEL;5127739;3401351277399;3401351277399;14.95;30;10.4700;1.0000;0.0000
PURESSENTIEL ANTI-PIQUE;Spray répulsif anti-pique aux huiles essentielles Bio 200ml;PURESSENTIEL;2108693;3401521086936;3401521086936;23.03;30;16.1200;1.0000;0.0000
HYGIÈNE & SOINS;Déodorant puissance 3 Roll-on/50ml;URIAGE;6009418;;3661434004575;7.9;20;6.3200;1.0000;0.0000
ALOSTIL;5% Solution application locale avec 3x Fl/60ml;KENVUE - JOHNSON ET JOHNSON;3398730;3400933987305;3400933987305;75.79;23;58.3583;1.0000;0.0000
HYDRALIN FILLETTE;Solution usage intime Fl/150ml;BAYER CONSUMER HEALTH;2855734;3401528557347;3401528557347;7.27;14;6.2500;6.0000;0.0000
ELMEX SENSITIVE PROFESSIONAL;Dentifrice blancheur 2Tubes/75ml;COLGATE GABA;2578660;;8718951093607;12.4;28;8.9300;1.0000;0.0000
HYDRALIN MADEMOISELLE;RUPTURE LABO (INDETERMINEE) Solution usage intime Fl/200ml;BAYER CONSUMER HEALTH;2855740;3401528557408;3401528557408;7.34;14;6.3124;6.0000;0.0000
AKILEINE SOINS ROUGES;Spray fraîcheur vive Spr/150ml;ASEPTA;7344984;3401573449840;3323037344983;8.23;16;6.9100;3.0000;0.0000
AKILEINE SOINS BLEUS;Crème de gommage Tube/75ml;ASEPTA;4408809;3401344088094;3323034408800;7.2;16;6.0500;3.0000;0.0000
AKILEINE SOINS BLEUS;Podorape bleu, rouge, vert;ASEPTA;6191389;;3323036191380;7.06;16;5.9300;3.0000;0.0000
AKILEINE SOINS VERTS;Gel déo antitranspirant tube/75 ml;ASEPTA;4408666;;3323034408664;7.08;16;5.9500;1.0000;0.0000
AKILEINE SOINS VERTS;Vaporisateur déo antitranspirant Spr/100ml;ASEPTA;4408726;3401544087262;3323034408725;8.31;16;6.9800;3.0000;0.0000
AKILEINE SOINS VERTS;Spray poudre asséchant actif Myco-préventif Spr/150ml;ASEPTA;4408703;3401544087033;3323034408701;8.28;16;6.9552;3.0000;0.0000
CICALEINE;Cicaleine film isolant protecteur doigts/talons Fl/5,5ml;ASEPTA;6166849;;3323030000190;8.45;16;7.1000;3.0000;0.0000
CICALEINE;Baume Cicaleïne mains-doigts Tube/30ml;ASEPTA;7631413;;3323037631410;6.59;16;5.5400;3.0000;0.0000
CICALEINE;Baume Cicaleïne pieds-talons Tube/50ml;ASEPTA;9503174;3401595031740;3323039503173;7.9;16;6.6360;3.0000;0.0000
AKILEINE;Akilenjur crème Tube/75ml;ASEPTA;7604758;3401576047586;3323037604759;7.03;16;5.9100;3.0000;0.0000
ONYKOLEïNE;Fl/10ml;ASEPTA;9623027;3401596230272;3323039623024;7.49;16;6.2900;3.0000;0.0000
CICALEINE;Crème réchauffante pieds froids Tube/75ml;ASEPTA;3600276;;3323036002761;7.16;16;6.0100;3.0000;0.0000
AKILDIA;Crème Akildia multi protectrice Tube/75ml;ASEPTA;9879815;3401398798154;3323039879810;7.44;16;6.2500;3.0000;0.0000
SPORTS  AKILEINE;START huile chauffante hydrofuge Fl/200ml;ASEPTA;4898340;;3323034898342;9.08;16;7.6300;3.0000;0.0000
SPORTS  AKILEINE;KIMAS huile de massage à l'arnica Fl/200ml;ASEPTA;4898400;;3323034898403;6.83;16;5.7372;3.0000;0.0000
SPORTS  AKILEINE;NOK crème anti-frottements Tube/75ml;ASEPTA;7218630;3401572186302;3323037218635;6.53;16;5.4900;3.0000;0.0000
VITA CITRAL;Soin hydra défense baume protecteur Tube/75ml;ASEPTA;4518998;3401345189981;3323034518998;6.17;16;5.1800;3.0000;0.0000
VITA CITRAL;Soin TR+ très réparateur Tube/100ml;ASEPTA;6014787;3401560147872;3401560147872;7.82;16;6.5700;3.0000;0.0000
VITA CITRAL;Baume TR pour lèvres Tube/15ml;ASEPTA;4242881;3401542428814;3323034242886;4.95;16;4.1600;3.0000;0.0000
ECRINAL CILS;Gel Cils ANP2 fortifiant pour cils/sourcils Fl/9ml;ASEPTA;6009640;;3323036009647;9.26;16;7.7784;3.0000;0.0000
ECRINAL CILS;Mascara noir fortifiant ANP2 Fl/7ml;ASEPTA;9694079;3401596940799;3401596940799;10.15;16;8.5260;3.0000;0.0000
ECRINAL ONGLES;Sérum réparateur aux 10 huiles précieuses Fl/10ml;ASEPTA;4808354;3401548083543;3323034808358;6.6;16;5.5400;3.0000;0.0000
ECRINAL ONGLES;Soin croissance et résistance Fl/10ml;ASEPTA;6018147;3401560181470;3401560181470;7.93;16;6.6600;3.0000;0.0000
ECRINAL ONGLES;Vernis base anti stries au silicium Fl/10ml;ASEPTA;7743572;3401377435728;3323037743571;6.92;16;5.8100;3.0000;0.0000
ECRINAL ONGLES;Durcisseur vitaminé Fl/10ml;ASEPTA;7664111;3401376641113;3323037664111;6.6;16;5.5400;3.0000;0.0000
ECRINAL ONGLES;Vernis durcisseur brillant haute résistance Fl/10ml;ASEPTA;7743589;3401377435896;3323037743588;6.85;16;5.7500;3.0000;0.0000
ECRINAL ONGLES;Dissolvant doux au lipesters de soie Fl/125ml;ASEPTA;7743543;3401377435438;3323037743540;4.79;16;4.0200;3.0000;0.0000
ECRINAL ONGLES;Vernis amer pour ongles rongés Fl/10ml;ASEPTA;6008853;;3323036008855;6.47;16;5.4300;3.0000;0.0000
CONFIANCE;Alèse niveau 2 - 60 x 90cm;HARTMANN;6255434;;4052199507101;23.89;43;13.6200;1.0000;0.0000
THERMHOT;Patchs chauffants Bte/2;CHAUVIN BAUSCH & LOMB;6005164;3401060051648;3401060051648;9.45;27;6.8985;1.0000;0.0000
THERMHOT;Patch multi-zones Bte/2;CHAUVIN BAUSCH & LOMB;6005162;3401060051624;3401060051624;7.30;27;5.3290;1.0000;0.0000
CINQ SUR CINQ;Spray anti-moustique citriodiol Spray/100ml;CHAUVIN BAUSCH & LOMB;6003893;3401560038934;3401560038934;12;28;8.6400;1.0000;0.0000
CINQ SUR CINQ;Visage et corps famille anti-moustiques Stick/20ml;CHAUVIN BAUSCH & LOMB;2850369;3401528503696;3401528503696;10.15;28;7.3080;1.0000;0.0000
SOINS YEUX;Démaquillant douceur pour les yeux Fl/125ml;AVENE;7976856;3401379768565;3282779051378;10.71;15;9.1000;1.0000;0.0000
VELPEAU CERVIX 1;T1 H7,5cm Collier cervical souple;LOHMANN & RAUSCHER;8140485;3401081404850;4056649516453;7.87;35;5.1200;0.0000;0.0000
VELPEAU CERVIX 1;T1 H9cm Collier cervical souple;LOHMANN & RAUSCHER;8140491;3401081404911;4056649516477;7.87;35;5.1200;0.0000;0.0000
VELPEAU CERVIX 1;T1 H11cm Collier cervical souple;LOHMANN & RAUSCHER;8140516;3401081405161;4056649516491;7.87;35;5.1200;0.0000;0.0000
VELPEAU CERVIX 1;T2 H7,5cm Collier cervical souple;LOHMANN & RAUSCHER;8140522;3401081405222;4056649516514;7.87;35;5.1200;0.0000;0.0000
VELPEAU CERVIX 1;T2 H9cm Collier cervical souple;LOHMANN & RAUSCHER;8140545;3401081405451;4056649516538;7.87;35;5.1200;0.0000;0.0000
VELPEAU CERVIX 1;T2 H11cm Collier cervical souple;LOHMANN & RAUSCHER;8140551;3401081405512;4056649516552;7.87;35;5.1200;0.0000;0.0000
VELPEAU CERVIX 1;T3 H7,5cm Collier cervical souple;LOHMANN & RAUSCHER;8140568;3401081405680;4056649516576;7.87;35;5.1200;0.0000;0.0000
VELPEAU CERVIX 1;T3 H9cm Collier cervical souple;LOHMANN & RAUSCHER;8140574;3401081405741;4056649516590;7.87;35;5.1200;0.0000;0.0000
VELPEAU CERVIX 1;T3 H11cm Collier cervical souple;LOHMANN & RAUSCHER;8140580;3401081405802;4056649516613;7.87;35;5.1200;0.0000;0.0000
VELPEAU CERVIX 2;T1 H7,5cm Collier cervical semi-rigide;LOHMANN & RAUSCHER;8138525;3401081385258;4056649516637;14.47;35;9.4100;0.0000;0.0000
VELPEAU CERVIX 2;T1 H9cm Collier cervical semi-rigide;LOHMANN & RAUSCHER;8138548;3401081385487;4056649516651;14.47;35;9.4100;0.0000;0.0000
VELPEAU CERVIX 2;T1 H11cm Collier cervical semi-rigide;LOHMANN & RAUSCHER;8138577;3401081385777;4056649516675;14.47;35;9.4100;0.0000;0.0000
VELPEAU CERVIX 2;T2 H7,5cm Collier cervical semi-rigide;LOHMANN & RAUSCHER;8138637;3401081386378;4056649516699;14.47;35;9.4100;0.0000;0.0000
VELPEAU CERVIX 2;T2 H9cm Collier cervical semi-rigide;LOHMANN & RAUSCHER;8138672;3401081386729;4056649516712;14.47;35;9.4100;0.0000;0.0000
VELPEAU CERVIX 2;T2 H11cm Collier cervical semi-rigide;LOHMANN & RAUSCHER;8138608;3401081386088;4056649516736;14.47;35;9.4100;0.0000;0.0000
VELPEAU CERVIX 2;T3 H7,5cm Collier cervical semi-rigide;LOHMANN & RAUSCHER;8138666;3401081386668;4056649516750;14.47;35;9.4100;0.0000;0.0000
VELPEAU CERVIX 2;T3 H9cm Collier cervical semi-rigide;LOHMANN & RAUSCHER;8138689;3401081386897;4056649516774;14.47;35;9.4100;0.0000;0.0000
VELPEAU CERVIX 2;T3 H11cm Collier cervical semi-rigide;LOHMANN & RAUSCHER;8138614;3401081386149;4056649516798;14.47;35;9.4100;0.0000;0.0000
VELPEAU VERTÉLIBRE ;Ceinture de soutien lombaire T1 - Noir;LOHMANN & RAUSCHER;9830430;3401098304303;4056649515579;71.55;35;46.5100;0.0000;0.0000
VELPEAU VERTÉLIBRE ;Ceinture de soutien lombaire T2 - Noir;LOHMANN & RAUSCHER;9830447;3401098304471;4056649515593;71.55;35;46.5100;0.0000;0.0000
VELPEAU VERTÉLIBRE ;Ceinture de soutien lombaire T3 - Noir;LOHMANN & RAUSCHER;9830453;3401098304532;4056649515616;71.55;35;46.5100;0.0000;0.0000
VELPEAU VERTÉLIBRE ;Ceinture de soutien lombaire T4 - Noir;LOHMANN & RAUSCHER;9830476;3401098304761;4056649515630;71.55;35;46.5100;0.0000;0.0000
VELPEAU VERTÉLIBRE ;Ceinture de soutien lombaire T5 - Noir;LOHMANN & RAUSCHER;9830482;3401098304822;4056649515654;71.55;35;46.5100;0.0000;0.0000
VELPEAU DORSAMIX ;21cm T1 ceinture de soutien lombaire;LOHMANN & RAUSCHER;9745109;3401597451096;4056649515777;45.81;35;29.7800;0.0000;0.0000
VELPEAU DORSAMIX ;21cm T2 ceinture de soutien lombaire;LOHMANN & RAUSCHER;9745664;3401597456640;4056649515791;45.81;35;29.7800;0.0000;0.0000
VELPEAU DORSAMIX ;21cm T3 ceinture de soutien lombaire;LOHMANN & RAUSCHER;9746043;3401597460432;4056649515814;45.81;35;29.7800;0.0000;0.0000
VELPEAU DORSAMIX ;21cm T4 ceinture de soutien lombaire;LOHMANN & RAUSCHER;9746505;3401597465055;4056649515838;45.81;35;29.7800;0.0000;0.0000
VELPEAU DORSAMIX ;21cm T5 ceinture de soutien lombaire;LOHMANN & RAUSCHER;9750582;3401597505829;4056649515852;45.81;35;29.7800;0.0000;0.0000
VELPEAU DORSAMIX ;26cm T1 ceinture de soutien lombaire;LOHMANN & RAUSCHER;6056160;3401560561609;4056649515951;53.19;35;34.5700;0.0000;0.0000
VELPEAU DORSAMIX ;26cm T2 ceinture de soutien lombaire;LOHMANN & RAUSCHER;6058710;3401560587104;4056649516019;53.19;35;34.5700;0.0000;0.0000
VELPEAU DORSAMIX ;26cm T3 ceinture de soutien lombaire;LOHMANN & RAUSCHER;6056272;3401560562729;4056649516033;53.19;35;34.5700;0.0000;0.0000
VELPEAU DORSAMIX ;26cm T4 ceinture de soutien lombaire;LOHMANN & RAUSCHER;6058733;3401560587333;4056649516057;53.19;35;34.5700;0.0000;0.0000
VELPEAU DORSAMIX ;26cm T5 ceinture de soutien lombaire;LOHMANN & RAUSCHER;6058762;3401560587623;4056649516071;53.19;35;34.5700;0.0000;0.0000
VELPEAU BANDAGE ;Herniaire T1;LOHMANN & RAUSCHER;4657783;3401046577834;4056649518419;58.91;35;38.2900;0.0000;0.0000
VELPEAU BANDAGE ;Herniaire T2;LOHMANN & RAUSCHER;4657808;3401046578084;4056649518433;58.91;35;38.2900;0.0000;0.0000
VELPEAU BANDAGE ;Herniaire T3;LOHMANN & RAUSCHER;4657814;3401046578145;4056649518457;58.91;35;38.2900;0.0000;0.0000
VELPEAU GILET ;Orthopédique T0;LOHMANN & RAUSCHER;4662270;3401046622701;4021447945361;46.91;35;30.4900;0.0000;0.0000
VELPEAU GILET ;Orthopédique T1;LOHMANN & RAUSCHER;4662287;3401046622879;4056649514633;46.91;35;30.4900;0.0000;0.0000
VELPEAU GILET ;Orthopédique T2;LOHMANN & RAUSCHER;4663536;3401046635367;4056649514657;46.91;35;30.4900;0.0000;0.0000
VELPEAU GILET ;Orthopédique T3;LOHMANN & RAUSCHER;4663542;3401046635428;4056649514619;46.91;35;30.4900;0.0000;0.0000
VELPEAU COUDIÈRE ;Anti-épicondylite T1;LOHMANN & RAUSCHER;6002197;3401060021979;4056649516354;30.89;35;20.0800;0.0000;0.0000
VELPEAU COUDIÈRE ;Anti-épicondylite T2;LOHMANN & RAUSCHER;6002198;3401060021986;4056649516378;30.89;35;20.0800;0.0000;0.0000
VELPEAU COUDIÈRE ;Anti-épicondylite T3;LOHMANN & RAUSCHER;6002199;3401060021993;4056649516392;30.89;35;20.0800;0.0000;0.0000
VELPEAU COUDIÈRE ;Anti-épicondylite T4;LOHMANN & RAUSCHER;6002200;3401060022006;4056649516415;30.89;35;20.0800;0.0000;0.0000
VELPEAU COUDIÈRE ;Anti-épicondylite T5;LOHMANN & RAUSCHER;6002202;3401060022020;4056649516439;30.89;35;20.0800;0.0000;0.0000
VELPEAU MANU CONTROL;Droit T1 orthèse statique poignet/main;LOHMANN & RAUSCHER;6269465;;4063591106311;44.79;35;29.1100;0.0000;0.0000
VELPEAU MANU CONTROL;Droit T2 orthèse statique poignet/main;LOHMANN & RAUSCHER;6269468;;4063591106335;44.79;35;29.1100;0.0000;0.0000
VELPEAU MANU CONTROL;Droit T3 orthèse statique poignet/main;LOHMANN & RAUSCHER;6269473;;4063591106359;44.79;35;29.1100;0.0000;0.0000
VELPEAU MANU CONTROL;Gauche T1 orthèse statique poignet/main;LOHMANN & RAUSCHER;6269461;;4063591106014;44.79;35;29.1100;0.0000;0.0000
VELPEAU MANU CONTROL;Gauche T2 orthèse statique poignet/main;LOHMANN & RAUSCHER;6269467;;4063591106038;44.79;35;29.1100;0.0000;0.0000
VELPEAU MANU CONTROL;Gauche T3 orthèse statique poignet/main;LOHMANN & RAUSCHER;;;4063591106052;44.79;35;29.1100;0.0000;0.0000
VELPEAU RHIZA PRO;T1 Orthèse statique pouce;LOHMANN & RAUSCHER;4663884;3401046638849;4056649514671;47.14;35;30.6400;0.0000;0.0000
VELPEAU RHIZA PRO;T2 Orthèse statique pouce;LOHMANN & RAUSCHER;4663890;3401046638900;4056649514695;47.14;35;30.6400;0.0000;0.0000
VELPEAU RHIZA PRO;T3 Orthèse statique pouce;LOHMANN & RAUSCHER;4663909;3401046639099;4056649519966;47.14;35;30.6400;0.0000;0.0000
VELPEAU GENOUILLÈRE ANATOMIQUE;T1 Noir;LOHMANN & RAUSCHER;9688274;3401096882742;4056649514718;21;35;13.6500;0.0000;0.0000
VELPEAU GENOUILLÈRE ANATOMIQUE;T2 Noir;LOHMANN & RAUSCHER;9688280;3401096882803;4056649514732;21;35;13.6500;0.0000;0.0000
VELPEAU GENOUILLÈRE ANATOMIQUE;T3 Noir;LOHMANN & RAUSCHER;9688297;3401096882971;4056649514756;21;35;13.6500;0.0000;0.0000
VELPEAU GENOUILLÈRE ANATOMIQUE;T4 Noir;LOHMANN & RAUSCHER;9688305;3401096883053;4056649514770;21;35;13.6500;0.0000;0.0000
