Gamme;Nom;Laboratoire;cip7;cip13;EAN;Prix;Remise client;Prix remisé;Quantité minimum;Quantité par multiple
CICABIAFINE;Baume hydratant corps Fl pompe/400ml;KENVUE - JOHNSON ET JOHNSON;9514060;3401595140602;3574660502510;18.5;20;14.8000;3.0000;0.0000
CICABIAFINE;Crème hydratante anti-irritations Tube/200ml;KENVUE - JOHNSON ET JOHNSON;9514048;3401395140482;3574660504279;14.42;20;11.5400;3.0000;0.0000
CICABIAFINE;Lait hydratant corps peaux sèches Fl pompe/400ml;KENVUE - JOHNSON ET JOHNSON;9671552;3401596715526;3574660572254;15.94;20;12.7500;3.0000;0.0000
XEMOSE C8+;Crème relipidante anti-irritations Tube/200ml;URIAGE;6004308;;3661434004841;12.5;19;10.1250;1.0000;0.0000
XEMOSE C8+;Crème relipidante anti-irritations Fl pompe/400ml;URIAGE;6004309;;3661434004858;17.4;19;14.0940;1.0000;0.0000
PERCUTAFEINE;Gel amincissant local à 5% de caféine tube/200ml;PIERRE FABRE MEDICAL CARE;3462882;3400934628825;3400934628825;16.05;20;12.8400;1.0000;0.0000
DEODORANT;Physiologique 24H Roll-on/50ml;LA ROCHE POSAY;9631937;3401396319375;3337872412158;8.3;12;7.3000;1.0000;0.0000
HYGIÈNE & SOINS;Déodorant douceur Roll-on/50ml;URIAGE;2106441;;3661434002687;7.9;20;6.3200;1.0000;0.0000
DEODORANT;Anti-transpirant 48h roll-on 2Fl/50ml;VICHY;2593180;3401325931807;3433425000596;16.3;19;13.2000;1.0000;0.0000
DEODORANT;Anti-transpirant peau sensible roll-on 2Fl/50ml;VICHY;2593168;3401325931685;3337871324728;16.3;19;13.2000;1.0000;0.0000
DEODORANT;Crème anti-transpirante 7 jours Tube/30ml;VICHY;7710182;3401377101821;3337871310455;8.6;12;7.5680;1.0000;0.0000
DEODORANT;Anti-transpirant aérosol 2Spr/125ml;VICHY;2535662;3401325356624;3337871397845;16.3;19;13.2000;1.0000;0.0000
DEODORANT;Minéral 48h roll-on Fl/50ml;VICHY;6035677;;3337875553278;8.15;12;7.1720;1.0000;0.0000
DEODORANT;Détranspirant intensif 72h 2Roll-on/50ml;VICHY;2631414;3401326314142;3337871324711;17.2;19;13.9300;1.0000;0.0000
DEODORANT;Anti-traces aérosol 2Spr/125ml;VICHY;2657649;;3433425095417;16.3;19;13.2000;1.0000;0.0000
DEODORANT;Anti-traces roll-on 2Fl/50ml;VICHY;2657632;;3433425095462;16.3;19;13.2000;1.0000;0.0000
PAPIERS d'ARMENIE;Parfum Rose;PAPIER D ARMENIE;9615252;3401596152529;3401596152529;3.19;5;3.0300;1.0000;0.0000
HOMME;Baume après rasage Tube/75ml;AVENE;4330705;3401343307059;3282779003889;15.32;15;13.0200;1.0000;0.0000
NOBACTER;Gel de rasage peaux sensibles Spr/150ml;EUCERIN;6243102;4005900176868;4005900644084;9.1;25;6.8250;1.0000;0.0000
NOBACTER;Mousse à raser peaux sensibles Fl pompe/150ml;EUCERIN;7385598;3401373855988;4005900644077;8.3;25;6.2250;1.0000;0.0000
CICALFATE;Crème mains réparatrice Tube/100ml;AVENE;5185079;3401351850790;3282779416139;9.26;15;7.8700;1.0000;0.0000
NEUTROGENA;Crème mains non parfumée Tube/50ml;KENVUE - JOHNSON ET JOHNSON;7684177;3401376841773;8002110383709;6.6;20;5.2800;3.0000;0.0000
NEUTROGENA;Crème mains hydratante concentrée Tube/50ml;KENVUE - JOHNSON ET JOHNSON;6546697;3401365466970;4012273123009;6.6;20;5.2800;3.0000;0.0000
XERAND;Crème mains réparatrice Tube/50ml;LA ROCHE POSAY;9759620;3401397596201;3337872412684;5.5;12;4.8400;1.0000;0.0000
CICAPLAST;Crème mains Tube/50ml;LA ROCHE POSAY;6120455;3401561204550;3337872414145;6.6;16;5.5400;1.0000;0.0000
UREA REPAIR;Crème pieds 10% d'Urée Tube/100ml;EUCERIN;7902421;3401379024210;4005800034428;10.45;22;8.1510;1.0000;0.0000
NEUTROGENA;Crème Pieds très secs & abimés Tube/100ml;KENVUE - JOHNSON ET JOHNSON;7280089;3401572800895;3574660183818;9.55;20;7.6400;3.0000;0.0000
NEUTROGENA;Crème pieds très secs et abimés Tube/150ml;KENVUE - JOHNSON ET JOHNSON;7832330;3401578323305;3574660183832;12.41;20;9.9300;3.0000;0.0000
SOLAIRE;RUPTURE LABO (INDETERMINEE) Spray très haute protection SPF50+ Spr/200ml;AVENE;6025221;3401360252219;3282770100617;18.2;15;15.4700;1.0000;0.0000
SOLAIRE;Sun sensitive protect crème 50+ Tube/50ml;EUCERIN;4200428;4005800065545;4005800065545;16.65;30;11.6550;1.0000;0.0000
SOLAIRE;Sun oil control spray transparent spf 50 Fl/200ml;EUCERIN;9848795;4005800005558;4005800005558;22.15;30;15.5050;1.0000;0.0000
SOLAIRE;Sun sensitive protect kids spray spf50+ Fl/200ml;EUCERIN;9460571;4005800027932;4005800027932;23.1;30;16.1700;1.0000;0.0000
SOLAIRE;Sun leb project crème gel spf 50 Tube/150ml;EUCERIN;9487245;4005800030772;4005800030772;20.25;30;14.1750;1.0000;0.0000
ACTINICA;Lotion photoprotectrice Fl/80ml;GALDERMA;4031345;7612076396470;3401040313452;18.5;16;15.5400;1.0000;0.0000
DAYLONG EXTREME;SPF50+ Lotion solaire Tube/50ml;GALDERMA;4788338;3401347883382;3401347883382;9.9;16;8.3200;1.0000;0.0000
DAYLONG EXTREME;SPF50+ Lotion solaire Tube/100ml;GALDERMA;4788344;3401347883443;3401347883443;14.3;16;12.0100;1.0000;0.0000
DAYLONG KIDS;RUPTURE LABO (INDETERMINEE) SPF50+ Lotion solaire Tube/150ml;GALDERMA;;3401398474652;7612076396746;16.8;16;14.1120;1.0000;0.0000
BARIESUN;Crème minérale SPF50+ Tube/100ml;URIAGE;9739095;3401597390951;3661434001437;16;28;11.5200;1.0000;0.0000
BARIESUN;Baume réparateur après-soleil Tube/150ml;URIAGE;9739066;3401597390661;3661434001468;14;28;10.0800;1.0000;0.0000
NORMADERM;Gel nettoyant 3en1 Tube/125ml;VICHY;4062015;;3337875414067;9.2;12;8.1000;1.0000;0.0000
LIFTACTIV HYALURONIC SPECIALIST H.A.;(DLC 8 MOIS) Crème anti-rides et fermeté nuit Pot/50ml;VICHY;9876366;3401398763664;3337871322502;27.4;12;13.7000;1.0000;0.0000
LIFTACTIV HYALURONIC SPECIALIST H.A.;Crème anti-rides peau normale à mixte Pot/50ml;VICHY;6433800;;3337871328795;27.4;12;24.1120;1.0000;0.0000
SEBIUM;H2O Solution micellaire peaux grasses Fl/250ml;BIODERMA;7228829;3401572288297;3401572288297;8.97;18;7.3554;1.0000;0.0000
HYDRABIO;H2O Solution micellaire Fl/250ml;BIODERMA;9969412;3401399694127;3401399694127;8.97;18;7.3554;1.0000;0.0000
SEBIUM;Gel moussant purifiant Fl pompe/200ml;BIODERMA;7865370;3401578653709;3401578653709;8.03;20;6.4240;1.0000;0.0000
CREALINE;H2O Solution micellaire Fl/500ml;BIODERMA;;3401575645790;3701129805008;11.99;20;9.5900;1.0000;0.0000
CREALINE;H2O TS Solution micellaire Fl/250ml;BIODERMA;7476711;3401574767110;3401574767110;8.97;18;7.3600;1.0000;0.0000
CREALINE;H2O Solution micellaire Fl/250ml;BIODERMA;7228812;3401572288129;3401572288129;8.97;18;7.3600;1.0000;0.0000
CREALINE;H2O Solution micellaire Fl/100ml;BIODERMA;9537687;3401395376874;3401395376874;4.78;18;3.9200;1.0000;0.0000
SEBIUM;H2O Solution micellaire peaux grasses Fl/100ml;BIODERMA;9537693;3401395376935;3401395376935;4.78;18;3.9196;1.0000;0.0000
CREALINE;DS+ Gel nettoyant Fl/200ml;BIODERMA;9724030;3401397240302;3401397240302;11.31;18;9.2700;1.0000;0.0000
CREALINE;H2O AR Solution micellaire Fl/250ml;BIODERMA;5373846;3401353738461;3401353738461;8.97;18;7.3600;1.0000;0.0000
SOLUTION MICELLAIRE;Physiologique Fl/400ml;LA ROCHE POSAY;4211917;3401342119172;3337872411595;11.2;12;9.8600;1.0000;0.0000
EFFACLAR;Eau micellaire purifiante Fl/200ml;LA ROCHE POSAY;9514841;3401395148419;3433422408357;8.7;16;7.3080;1.0000;0.0000
RESPECTISSIME;Démaquillant yeux waterproof Fl/125ml;LA ROCHE POSAY;7545062;3401375450624;3433422401907;12.55;12;11.0440;1.0000;0.0000
EFFACLAR;Eau micellaire purifiante Fl/400ml;LA ROCHE POSAY;9728217;3401397282173;3337872412516;11.6;16;9.7400;1.0000;0.0000
D.S ;Gel moussant régulateur Tube/150ml;URIAGE;4781537;3401347815376;3661434000089;9.4;19;7.6100;1.0000;0.0000
PURETE THERMALE;Lait démaquillant 3en1 Tube/300ml;VICHY;7522776;3401375227769;3337871321994;10;12;8.8000;1.0000;0.0000
DERMOPHIL INDIEN;Stick original pour les lèvres Stick/3,5g;DERMOPHIL (MELISANA);6223583;;3700322000081;5.7;17;4.7300;1.0000;0.0000
DERMOPHIL INDIEN;Stick original pour les mains Stick/30g;DERMOPHIL (MELISANA);6223582;;3700322000098;8;17;6.6400;1.0000;0.0000
NEUTROGENA VISAGE;Stick lèvres nutrition /4,8g;KENVUE - JOHNSON ET JOHNSON;7476214;3401374762148;3574660085563;5.26;12;4.6288;3.0000;0.0000
CICAPLAST;Baume lèvres Tube/7,5ml;LA ROCHE POSAY;6075849;30106659;30106659;5.95;16;4.9980;1.0000;0.0000
NUTRITIC;Lèvres sèches sensibles Stick/4.7ml;LA ROCHE POSAY;4675485;3401346754850;30070349;4.8;12;4.2200;1.0000;0.0000
STICK LEVRES;Hydratant Stick/4g;URIAGE;8133769;;3661434004421;4.5;19;3.6450;1.0000;0.0000
XEMOSE C8+;Stick lèvres hydratant Stick/4g;URIAGE;8133775;;3661434004452;4.6;19;3.7260;1.0000;0.0000
EAU THERMALE;Brumisateur Spr/150ml;AVENE;6365487;3401363654874;3282779003124;6.26;15;5.3200;1.0000;0.0000
EAU THERMALE;Brumisateur Spr/300ml;AVENE;6418953;3401364189535;3282779003131;8.21;15;6.9785;1.0000;0.0000
EAU THERMALE;Brumisateur Spr/50ml;AVENE;4354864;3401343548643;3282779228305;3.45;15;2.9300;1.0000;0.0000
HYDRABIO;Lotion tonique Fl/250ml;BIODERMA;9969435;3401399694356;3401399694356;12.9;18;10.5800;1.0000;0.0000
HYDRABIO;Brumisateur Spr/300ml;BIODERMA;9984825;3401399848254;3401399848254;6.22;18;5.1000;1.0000;0.0000
EFFACLAR;Lotion astringente Fl/200ml;LA ROCHE POSAY;9585255;;3433422408159;11.3;16;9.4900;1.0000;0.0000
LOTION APAISANTE;Physiologique Fl/200ml;LA ROCHE POSAY;4685756;3401346857568;3337872410321;12.4;12;10.9100;1.0000;0.0000
EAU THERMALE;Brumisateur Spr/300ml;LA ROCHE POSAY;6197593;3401361975933;3433422404403;8.9;12;7.8300;1.0000;0.0000
EAU THERMALE;Brumisateur Spr/150ml;LA ROCHE POSAY;7018888;3401370188881;3433422404397;6.25;12;5.5000;1.0000;0.0000
EAU THERMALE;Brumisateur Spr/50ml;URIAGE;;3401372114444;3661434000539;2.55;19;2.0655;1.0000;0.0000
EAU THERMALE;Brumisateur Spr/150ml;URIAGE;6414754;;3661434000515;5.45;19;4.4145;1.0000;0.0000
EAU THERMALE;Brumisateur Spr/300ml;URIAGE;6414748;;3661434000522;6.9;19;5.5890;1.0000;0.0000
SEBIUM;Pore Refiner soin correcteur Tube/30ml;BIODERMA;6135362;3401361353625;3401361353625;13.35;18;10.9470;1.0000;0.0000
SEBIUM;Hydra crème hydratante Tube/40ml;BIODERMA;4884042;3401348840421;3401348840421;11.03;18;9.0446;1.0000;0.0000
SEBIUM;RUPTURE LABO (INDETERMINEE) Mat Control soin matifiant Tube/30ml;BIODERMA;8168236;3401381682361;3401381682361;11.14;18;9.1348;1.0000;0.0000
EFFACLAR AI;Crème imperfections cutanées Tube/15ml;LA ROCHE POSAY;;3401379301335;3337875609593;9.5;16;7.9800;1.0000;0.0000
EFFACLAR MAT;Crème hydratante matifiante Tube/40ml;LA ROCHE POSAY;9460513;3401594605133;3337872413025;11.45;16;9.6180;1.0000;0.0000
CREALINE;AR Soin teinté doré anti-rougeurs Tube/40ml;BIODERMA;4593563;3401345935632;3401345935632;17.12;18;14.0400;1.0000;0.0000
CREALINE;Fort soin apaisant Tube/40ml;BIODERMA;7946217;3401579462171;3401579462171;14.28;18;11.7100;1.0000;0.0000
CREALINE;DS+ Soin apaisant assainissant Tube/40ml;BIODERMA;9724024;3401397240241;3401397240241;12.41;18;10.1800;1.0000;0.0000
CREALINE;AR BB cream teinte claire Tube/40ml;BIODERMA;5127797;3401351277979;3401351277979;16.96;18;13.9100;1.0000;0.0000
AQUAPHOR;Baume réparateur cutané Tube/40gr;EUCERIN;5166142;3401351661426;4005800019876;8.3;27;6.0590;1.0000;0.0000
TOLERIANE;Crème sensitive Tube/40ml;LA ROCHE POSAY;6041420;;3337875578486;13.4;13;11.6580;1.0000;0.0000
TOLERIANE;Crème sensitive riche Tube/40ml;LA ROCHE POSAY;6041423;;3337875588348;13.4;13;11.6580;1.0000;0.0000
TOLERIANE;Dermallergo Crème Fl pompe/40ml;LA ROCHE POSAY;;3401397528592;3337875757614;16.1;13;14.0070;1.0000;0.0000
COLD CREAM;RUPTURE LABO (INDETERMINEE) Crème visage Tube/100ml;AVENE;6493038;3401364930380;3282779002721;12.72;15;10.8120;1.0000;0.0000
HYDRABIO;Sérum hydratant Fl pompe/40ml;BIODERMA;4786977;3401347869775;3401347869775;19.87;18;16.2900;1.0000;0.0000
ICTYANE;RUPTURE LABO (INDETERMINEE) HD Crème émolliente desséchement cutané sévére hydroxydécine Tube/50ml;DUCRAY;7967484;3401379674842;3282779370646;15.01;11;13.3589;1.0000;0.0000
CICABIAFINE;Baume réparateur crevasses mains & pieds Tube/50ml;KENVUE - JOHNSON ET JOHNSON;4220891;3401342208913;3574660450729;8.05;20;6.4400;3.0000;0.0000
NUTRITIC;Intense crème Tube/50ml;LA ROCHE POSAY;5202487;3401352024879;3337872413629;15.2;12;13.3800;1.0000;0.0000
NUTRITIC;Intense riche crème Pot/50ml;LA ROCHE POSAY;5202493;3401352024930;3337872413575;19;12;16.7200;1.0000;0.0000
XEMOSE C8+;Cérat relipidant anti-irritations Pot/200ml;URIAGE;6004307;;3661434004834;17.8;19;14.4180;1.0000;0.0000
XEMOSE C8+;Crème visage Tube/40ml;URIAGE;6004305;;3661434004865;12.1;19;9.8000;1.0000;0.0000
HYDRAPHASE;Crème contour yeux Tube/15ml;LA ROCHE POSAY;9884839;;3337872412646;12;12;10.5600;1.0000;0.0000
LIFTACTIV HYALURONIC SPECIALIST H.A.;(DLC 8 MOIS) Contour yeux soin puissant Tube/15ml;VICHY;9934649;3401599346499;3337871323332;20.5;12;10.2500;1.0000;0.0000
LES AUTHENTIQUES SUCRETTES;Comprimés 1=2sucres base saccharine Bte/350;MAYOLY PHARMA;;;3701427900252;6.8;19;5.5100;3.0000;0.0000
HUILE DE MASSAGE;Arnica Fl/200ml;WELEDA;6176757;3401361767576;3596206176757;18.3;17;15.1890;1.0000;0.0000
HUILE DE MASSAGE;Arnica Fl/50ml;WELEDA;6227791;3401362277913;3596206227794;8.7;17;7.2200;1.0000;0.0000
SAVON VÉGÉTAL;Calendula peaux sensibles Pain/100g;WELEDA;6198003;3401361980036;3596206198001;4.3;17;3.5700;1.0000;0.0000
HUILE DE MASSAGE;Du périnée Fl/50ml;WELEDA;4519986;3401345199867;3596204519983;10.1;17;8.3800;1.0000;0.0000
COLD CREAM;Crème soin protecteur intensif visage Tube/30ml;WELEDA;9530283;3401395302835;3596209530280;8.6;17;7.1400;1.0000;0.0000
CRÈME POUR LE CHANGE;Calendula bébé Tube/75ml;WELEDA;6529629;3401565296292;3596206529621;6.7;17;5.5600;1.0000;0.0000
HUILE DE MASSAGE;Vergetures Fl pompe/100ml;WELEDA;6022693;3401360226937;3401360226937;17.4;17;14.4400;1.0000;0.0000
CREME VISAGE & CORPS;Soin protecteur Calendula Tube/75ml;WELEDA;6332826;3401363328263;3596206332825;9.4;17;7.8000;1.0000;0.0000
CRÈME LAVANTE;Calendula corps & cheveux bébé Tube/200ml;WELEDA;4696180;3401346961807;3596204696189;5.9;17;4.9000;1.0000;0.0000
SEDATIF PC;Granulés 2Tubes/80;BOIRON;;;3400930211236;7.9;19;6.4000;1.0000;0.0000
L.72;Solution buvable Fl/30ml;LEHNING;3012407;3400930124079;3400930124079;9.1;16;7.6400;6.0000;0.0000
L.52;Solution buvable Fl/30ml;LEHNING;3018037;3400930180372;3400930180372;9.1;16;7.6400;6.0000;0.0000
MERCU SOLUBILIS COMPLEXE n°39;Comprimés Bte/60;LEHNING;3059270;3400930592700;3400930592700;9.1;16;7.6400;3.0000;0.0000
INFLUDO;Solution buvable en gouttes Fl/30ml;WELEDA;3052658;3400930526583;3400930526583;7.9;17;6.5600;1.0000;0.0000
DENTIFRICE HOMEOPATHIQUE;Citron Tube/80g;LEHNING;6556069;3401565560690;3401565560690;4.35;16;3.6500;3.0000;0.0000
