CIP13;LIBELLE;PRIX NET HT;GAMME
3400930066010;LEVOTHYROX 125MCG CPR BT30 EXC;1,95;INTEGRAL TOP 200
3400937071253;RHINOMAXIL 100MCG NAS PULV120D.;4,90;INTEGRAL TOP 200
3400931585756;TRIDESONIT 0,05% CR TB30G;1,51;INTEGRAL TOP 200
3400930418673;FUNGIZONE 10% BUV FL40ML;4,24;INTEGRAL TOP 200
3400941533969;DOLIPRANE 1000MG GELU BT8;0,88;INTEGRAL TOP 200
3400936246980;DOLIPRANE 1000MG BUV SACH 8;0,88;INTEGRAL TOP 200
3400930264546;COUMADINE 2MG CPR BT20;1,23;INTEGRAL TOP 200
3400930258668;WEGOVY 2,4MG FLEX INJ STYLO SC 1;174,42;INTEGRAL TOP 200
3400941686245;SPASFON LYOC 160MG LYOT ORAL 5;1,12;INTEGRAL TOP 200
3400930258644;WEGOVY 1MG FLEX INJ STYLO SC 1;131,19;INTEGRAL TOP 200
3400935137340;PRIORIX INJ FL+SRG 1 +2AIG;11,38;INTEGRAL TOP 200
3400933913083;ESTREVA GEL FL-DOS 50G;4,46;INTEGRAL TOP 200
3400937477680;DEXAFREE 1MG/ML COLLY DOS 30;3,69;INTEGRAL TOP 200
3400932790661;OTIPAX SOL INSTIL AUR FV16G+CG;1,52;INTEGRAL TOP 200
3400930216453;TRULICITY 3MG INJ STY0,5ML 4;71,39;INTEGRAL TOP 200
3400930292945;MOUNJARO 10MG INJ STYLO KWIKPEN 1;301,08;INTEGRAL TOP 200
3400931358589;PYOSTACINE 500MG CPR BT16;15,92;INTEGRAL TOP 200
3400932645503;TOCO 500MG CAPS MOL BT30;2,25;INTEGRAL TOP 200
3400930234976;UVEDOSE 50000UI CAPS MOL BT2;1,78;INTEGRAL TOP 200
3400934999451;DOLIPRANE 300MG PDR SACH 12;1,12;INTEGRAL TOP 200
3400931052838;THERALENE 5MG CPR PELLIC BT50;1,49;INTEGRAL TOP 200
3400931187943;FEROGRAD VIT C 500 CPR BT30;1,92;INTEGRAL TOP 200
3400930065570;LEVOTHYROX 25MCG CPR BT90 EXC;1,26;INTEGRAL TOP 200
3400932285778;STRESAM GELU BT60;6,71;INTEGRAL TOP 200
3401040669122;HYLO CONFORT COLLY HYD F10ML T;7,02;INTEGRAL TOP 200
3400930084564;ATURGYL 0,05% NAS FL15ML;1,13;INTEGRAL TOP 200
3400922179049;OPTILOVA 20MCG/100MCG CPR 28X3;3,23;INTEGRAL TOP 200
3400930204887;KLIPAL 600MG/50MG CPR BT12;1,38;INTEGRAL TOP 200
3400930216484;TRULICITY 4,5MG INJ STY0,5ML 4;71,39;INTEGRAL TOP 200
3400935706140;TIMOFEROL GELU BT30;1,42;INTEGRAL TOP 200
3400930260241;WEGOVY 1,7MG FLEX INJ STYLO SC 1;151,25;INTEGRAL TOP 200
3400935294227;DOLIPRANE 1000MG CPR EFFV TB8;0,88;INTEGRAL TOP 200
3400931898191;ASPEGIC AD. 1000MG BUV SACH 20;2,23;INTEGRAL TOP 200
3400931927679;STAGID 700MG CPR BT100;4,92;INTEGRAL TOP 200
3400933484132;PREVISCAN 20MG CPR BT30;1,76;INTEGRAL TOP 200
3400934223976;XYLOCAINE 10MG/ML S/C FL20ML 1;1,25;INTEGRAL TOP 200
3400927350078;HEXYON INJ SRG0,5ML 1 + 1AIG;28,92;INTEGRAL TOP 200
3400934809408;DOLIPRANE 150MG SUP BT10;1,03;INTEGRAL TOP 200
3400932308293;DIPROSONE 0,05% POM TB30G;2,41;INTEGRAL TOP 200
3400934464171;PAROEX 0,12% BAIN BCHE F300ML;2,02;INTEGRAL TOP 200
3400936441460;PLAQUENIL 200MG CPR PEL BT30;2,90;INTEGRAL TOP 200
3400931533429;POLYDEXA SOL AURIC FL10,5ML;1,48;INTEGRAL TOP 200
3400926692100;MELAXOSE PATE ORAL POT P150G+C;3,42;INTEGRAL TOP 200
3400934125942;GYDRELLE 0,1% CR VAG TB30G;2,70;INTEGRAL TOP 200
3400930016671;TOUJEO 300U SOLOSTAR STY1,5ML3;31,05;INTEGRAL TOP 200
3401554372105;SYSTANE BAL GTT OCUL LUB10ML T;8,52;INTEGRAL TOP 200
3400931053088;THERALENE 4% BUV GTT FL30ML;1,62;INTEGRAL TOP 200
3400931405009;LEPTICUR 10MG CPR BT30;3,52;INTEGRAL TOP 200
3400927886768;XIGDUO 5MG/1000MG CPR BT60;32,37;INTEGRAL TOP 200
3400934195389;INDOCOLLYRE 0,1% COLLY FL5ML;2,59;INTEGRAL TOP 200
3400930195291;BAQSIMI 3MG PDR NAS UNIDOS  1;52,41;INTEGRAL TOP 200
3400934035890;ARTELAC 1,6MG/0,5ML CY DOS 60;4,81;INTEGRAL TOP 200
3400926784102;ELIQUIS 5MG CPR BT60;52,41;INTEGRAL TOP 200
3400930234983;UVEDOSE 50000UI CAPS MOL BT4;3,44;INTEGRAL TOP 200
