CIP7;CIP13;EAN;Libellé;Prix HT Catalogue;Prix HT Remisé;Gabarit;Mini de commande;Gamme;Sous Gamme;Seuil n° 1;Prix HT remisé 1;Seuil n° 2;Prix HT remisé 2;Seuil n° 3;Prix HT remisé 3
;3400930292938;;MOUNJARO 7,5MG INJ STYLO KWIKPEN 1;313,27;301,08;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400931927501;;STAGID 700MG CPR BT30;1,94;1,76;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400935356062;;DERINOX SOL NAS FL15ML +POMP;4,51;4,51;;;INTEGRAL TOP 300;Non remboursés;;;;;;
;3400930244371;;VAXNEUVANCE;45,12;43,36;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400932935345;;CLARADOL 500MG CAFEINE CPR 16;1,33;1,15;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400934646683;;INDOCOLLYRE 0,1% COLLY DOS 20;2,68;2,50;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930669334;;METEOXANE GELU BT60;2,90;2,72;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400936873742;;REPEVAX INJ SRG 1 S/A+1;19,92;19,15;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400938203820;;AZYTER COLLY UNIDOS 6;4,30;4,12;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400933518004;;TARDYFERON 80MG CPR BT30;2,45;2,27;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400922253930;;NIMENRIX INJ FL+SRG 1 A/2AIG;36,18;34,77;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400930003763;;TRULICITY 1,5MG INJ STY0,5ML 4;74,28;71,39;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400930151105;;OZEMPIC 1MG INJ STYLO3ML 1;70,99;68,23;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400930121405;;LEVOTHYROX 75MCG CPR BT90 EXC;3,63;3,45;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400932189694;;LOCOID 0,1% CR TB30G;2,35;2,17;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400935955838;;DOLIPRANE 1000MG CPR BT8;1,06;0,88;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400931136385;;VIT B12 GERDA 1000MCG AMP4ML 6;2,32;2,14;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400931893639;;ASPEGIC BB. 100MG BUV SACH 20;1,35;1,17;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930258620;;WEGOVY 0,25MG FLEX INJ STYLO SC 1;136,50;131,19;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400931922537;;PANOTILE GTT AURIC FL8ML;1,60;1,42;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930065686;;LEVOTHYROX 50MCG CPR BT90 EXC;2,49;2,31;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930230008;;ASPIRINE PROTECT 100MG CPR 30;1,68;1,50;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400932331536;;DOLIPRANE 500MG PDR SACH 12;1,06;0,88;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400931742845;;LEXOMIL 6MG CPR TB30;1,53;1,35;;;INTEGRAL TOP 300;Petits prix;;;;;;
;;3614790000712;ELIXYA SOL OPHT HYD FL 10ML T;6,21;6,21;;;INTEGRAL TOP 300;Non remboursés;;;;;;
;3400930066010;;LEVOTHYROX 125MCG CPR BT30 EXC;2,13;1,95;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400937071253;;RHINOMAXIL 100MCG NAS PULV120D.;5,10;4,90;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400931585756;;TRIDESONIT 0,05% CR TB30G;1,69;1,51;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930418673;;FUNGIZONE 10% BUV FL40ML;4,41;4,24;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400941533969;;DOLIPRANE 1000MG GELU BT8;1,06;0,88;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400936246980;;DOLIPRANE 1000MG BUV SACH 8;1,06;0,88;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930264546;;COUMADINE 2MG CPR BT20;1,41;1,23;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930258668;;WEGOVY 2,4MG FLEX INJ STYLO SC 1;181,48;174,42;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400941686245;;SPASFON LYOC 160MG LYOT ORAL 5;1,30;1,12;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930258644;;WEGOVY 1MG FLEX INJ STYLO SC 1;136,50;131,19;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400935137340;;PRIORIX INJ FL+SRG 1 +2AIG;11,84;11,38;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400933913083;;ESTREVA GEL FL-DOS 50G;4,64;4,46;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400937477680;;DEXAFREE 1MG/ML COLLY DOS 30;3,87;3,69;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400932790661;;OTIPAX SOL INSTIL AUR FV16G+CG;1,70;1,52;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930216453;;TRULICITY 3MG INJ STY0,5ML 4;74,28;71,39;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400930292945;;MOUNJARO 10MG INJ STYLO KWIKPEN 1;313,27;301,08;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400931358589;;PYOSTACINE 500MG CPR BT16;16,56;15,92;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400932645503;;TOCO 500MG CAPS MOL BT30;2,43;2,25;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930234976;;UVEDOSE 50000UI CAPS MOL BT2;1,96;1,78;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400934999451;;DOLIPRANE 300MG PDR SACH 12;1,30;1,12;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400931052838;;THERALENE 5MG CPR PELLIC BT50;1,67;1,49;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400931187943;;FEROGRAD VIT C 500 CPR BT30;2,10;1,92;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930065570;;LEVOTHYROX 25MCG CPR BT90 EXC;1,44;1,26;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400932285778;;STRESAM GELU BT60;6,98;6,71;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;;3401040669122;HYLO CONFORT COLLY HYD F10ML T;7,02;7,02;;;INTEGRAL TOP 300;Non remboursés;;;;;;
;3400930084564;;ATURGYL 0,05% NAS FL15ML;1,31;1,13;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400922179049;;OPTILOVA 20MCG/100MCG CPR 28X3;3,41;3,23;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930204887;;KLIPAL 600MG/50MG CPR BT12;1,56;1,38;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930216484;;TRULICITY 4,5MG INJ STY0,5ML 4;74,28;71,39;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400935706140;;TIMOFEROL GELU BT30;1,60;1,42;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930260241;;WEGOVY 1,7MG FLEX INJ STYLO SC 1;157,37;151,25;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400935294227;;DOLIPRANE 1000MG CPR EFFV TB8;1,06;0,88;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400931898191;;ASPEGIC AD. 1000MG BUV SACH 20;2,41;2,23;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400931927679;;STAGID 700MG CPR BT100;5,12;4,92;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400933484132;;PREVISCAN 20MG CPR BT30;1,94;1,76;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400934223976;;XYLOCAINE 10MG/ML S/C FL20ML 1;1,43;1,25;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400927350078;;HEXYON INJ SRG0,5ML 1 + 1AIG;30,09;28,92;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400934809408;;DOLIPRANE 150MG SUP BT10;1,21;1,03;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400932308293;;DIPROSONE 0,05% POM TB30G;2,59;2,41;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400934464171;;PAROEX 0,12% BAIN BCHE F300ML;2,20;2,02;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400936441460;;PLAQUENIL 200MG CPR PEL BT30;3,08;2,90;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400931533429;;POLYDEXA SOL AURIC FL10,5ML;1,66;1,48;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400926692100;;MELAXOSE PATE ORAL POT P150G+C;3,60;3,42;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400934125942;;GYDRELLE 0,1% CR VAG TB30G;2,88;2,70;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930016671;;TOUJEO 300U SOLOSTAR STY1,5ML3;32,31;31,05;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;;3401554372105;SYSTANE BAL GTT OCUL LUB10ML T;8,52;8,52;;;INTEGRAL TOP 300;Non remboursés;;;;;;
;3400931053088;;THERALENE 4% BUV GTT FL30ML;1,80;1,62;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400931405009;;LEPTICUR 10MG CPR BT30;3,70;3,52;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400927886768;;XIGDUO 5MG/1000MG CPR BT60;33,68;32,37;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400934195389;;INDOCOLLYRE 0,1% COLLY FL5ML;2,77;2,59;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930195291;;BAQSIMI 3MG PDR NAS UNIDOS  1;54,53;52,41;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400934035890;;ARTELAC 1,6MG/0,5ML CY DOS 60;5,00;4,81;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400926784102;;ELIQUIS 5MG CPR BT60;54,53;52,41;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400930234983;;UVEDOSE 50000UI CAPS MOL BT4;3,62;3,44;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930262313;;VITABACT 0,05% CY FL GTT10ML 1;3,91;3,91;;;INTEGRAL TOP 300;Non remboursés;;;;;;
;3400930053287;;ANTIBIO-SYNALAR AURIC SOL 10ML;1,81;1,63;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400934912405;;MONAZOL 2% CR TB15G;2,42;2,24;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930121429;;LEVOTHYROX 100MCG CPR BT90 EXC;4,72;4,54;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400933384616;;FLECTOR 1% GEL TB60G - NSFP;1,87;1,69;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930157930;;LEVOTHYROX 88MCG CPR BT30;1,59;1,41;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400932192946;;DUPHASTON 10MG CPR BT10;2,49;2,31;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400932320189;;DOLIPRANE 500MG CPR BT16;1,06;0,88;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930037911;;ENTRESTO 49MG/51MG CPR BT56;102,12;98,15;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400934423079;;ADRIGYL 10000UI/ML GTT FL10ML;1,50;1,32;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400931623298;;COLPOTROPHINE CAPS VAG BT20;3,85;3,67;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930037904;;ENTRESTO 24MG/26MG CPR BT28;51,05;49,06;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;;4028694001499;HYLOVIS MULTI GTT FL15ML 1;8,49;8,49;;;INTEGRAL TOP 300;Non remboursés;;;;;;
;3400926857981;;TRESIBA 200U/ML INJ STYL.3ML 3;51,83;49,81;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400930247853;;PREVENAR 20 INJ SRG0,5ML+AIG 1;52,31;50,28;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400936773875;;BOOSTRIXTETRA INJ SRG0,5ML+A 1;19,92;19,15;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400937722988;;LANTUS 100U/ML INJ SOLO3ML 5;33,59;32,28;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400934507786;;DOLIPRANE 500MG GELU BT16;1,06;0,88;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930158494;;COSTEC 20+5MG/ML COLLY FL10ML1;12,62;12,13;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
