CIP7;CIP13;EAN;Libellé;Prix HT Catalogue;Prix HT Remisé;Gabarit;Mini de commande;Gamme;Sous Gamme;Seuil n° 1;Prix HT remisé 1;Seuil n° 2;Prix HT remisé 2;Seuil n° 3;Prix HT remisé 3
;3400937415187;;CARDIOCALM CPR BT80;6,09;6,09;;;INTEGRAL TOP 300;Non remboursés;;;;;;
;3400930014066;;RESITUNE 100MG CPR FL90;4,02;3,84;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930151099;;OZEMPIC 0,5MG INJ STYLO1,5ML 1 - RP 3032215;70,99;68,23;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400930157954;;LEVOTHYROX 88MCG CPR BT90;4,18;4,00;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400932964499;;FURADANTINE 50MG GELU BT21;2,73;2,55;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400934064357;;SPAGULAX MUCILAGE PUR GLE S.20;5,63;5,63;;;INTEGRAL TOP 300;Non remboursés;;;;;;
;3400935656070;;AERIUS 5MG CPR BT30;3,13;2,95;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400933727369;;TERALITHE LP 400MG CPR BT60;9,93;9,54;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400930305270;;DIAMOX 250MG CPR SECAB BT24;3,36;3,18;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400934424021;;TRANSIPEG 5,9G BUV SACH 20;2,48;2,30;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930119792;;L-THYROXIN HNG 75MCG CPR BT100;4,00;3,82;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930512685;;HYDREA 500MG GELU BT20;3,30;3,12;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930013953;;RESITUNE 75MG CPR FL30;1,54;1,36;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400936874633;;TETRAVAC-ACELLULAIRE SRG 1 S/S AIG+1 AIG SEP;11,94;11,48;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400930095645;;SOFTACORT 3,35MG/ML CY DOS 30;11,85;11,85;;;INTEGRAL TOP 300;Non remboursés;;;;;;
;3400938322446;;AVAMYS 27,5MCG/PULV NAS 120DOS1;4,78;4,59;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400931714811;;VOGALENE 0,1% BUV FL150ML;2,28;2,10;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930959695;;SERESTA 50MG CPR SECAB BT20;1,71;1,53;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400934326165;;MYDRIATICUM 2MG/0,4ML CY DOS 1;1,12;0,94;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400935746931;;TEMESTA 1MG CPR BT30;0,94;0,76;;;INTEGRAL TOP 300;Petits prix;;;;;;
;;3401076312351;IALUSET CR TRAIT ULCERE 100G T;5,87;5,87;;;INTEGRAL TOP 300;Non remboursés;;;;;;
;3400933145262;;DAKIN CPF STABILISE LOC 250ML;2,40;2,22;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400934903878;;CARBOSYMAG GELU+GELU BT48;4,28;4,10;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400932473335;;BETNEVAL 0,1% CR TB30G;1,93;1,75;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400933054212;;BISEPTINE SOL LOC FP250ML;1,80;1,62;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930573259;;LAROXYL 40MG/ML BUV FL20ML;2,85;2,67;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930151075;;OZEMPIC 0,25MG INJ STYLO1,5ML1;70,99;68,23;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400939020228;;ROTARIX BUV TB1,5ML 1;54,10;52,00;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400938510980;;HUMALOG 100UI/ML KWIKPEN 3ML 5;25,97;24,96;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400930003732;;TRULICITY 0,75MG INJ STY0,5ML4;74,28;71,39;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400933753672;;GAVISCON BB BUV SUSP FL150ML;2,27;2,09;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400932070619;;DEPAMIDE 300MG CPR BT30;3,76;3,58;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400932825653;;CUTACNYL 5% GEL LOC TB40G;1,93;1,75;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400933830885;;CALCIDOSE D3 500MG/400U SACH60;4,81;4,62;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400931994107;;COLPOTROPHINE 1% CR TB30G;3,89;3,71;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400922439716;;CILOXADEX 3MG/1MG/ML AURIC 5ML;2,53;2,35;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930515587;;HYDROCORTANCYL 2,5% INJ FL5ML;7,52;7,23;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400932285020;;GAVISCON BUV SUSP FV250ML;2,90;2,72;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400936009011;;CARTEOL LP 2% COLLY UNIDOS 30;5,85;5,62;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400928025777;;TARDYFERON 50MG CPR BT30;1,55;1,37;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400933775155;;HAVRIX 1440 AD. INJ SRG1ML 1;19,65;18,89;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400935211422;;TIORFAN 30MG ENF PDR SACH 30;5,61;5,39;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400930119808;;L-THYROXIN HNG 100MCG CPR BT100;5,24;5,04;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400933590499;;GLUCAGEN KIT 1MG INJ FL+SRG 1;16,95;16,29;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400930288849;;DELIPROCT SUP BT6;6,61;6,61;;;INTEGRAL TOP 300;Non remboursés;;;;;;
;3400932054411;;VOGALENE 15MG GELU BT20;3,35;3,17;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930573198;;LAROXYL 50MG CPR BT20;2,40;2,22;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930083161;;FIASP FLEXTOUCH 100U/ML STYLO5;28,78;27,66;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400933277826;;KALEORID LP 1000MG CPR BT30;1,87;1,69;;;INTEGRAL TOP 300;Petits prix;;;;;;
;;3401321104311;BD A MICROF ULTRA PRO 4MM STYL100 T - RP 03830;8,58;8,58;;;INTEGRAL TOP 300;Non remboursés;;;;;;
;3400935527400;;NOVORAPID FLEXPEN STYLO3ML 5;20,39;19,60;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400931395430;;DELIPROCT POM RECT TB30G;14,58;14,58;;;INTEGRAL TOP 300;Non remboursés;;;;;;
;3400931376330;;TERALITHE 250MG CPR BT100;11,29;10,85;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;;3760054331020;HYLOVIS LIPO EMUL OCUL 15ML T;8,49;8,49;;;INTEGRAL TOP 300;Non remboursés;;;;;;
;3400933489045;;HEMIGOXINE NAT 0,125MG CPR 30;1,78;1,60;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400939094908;;QLAIRA CPR BT28 X3;27,99;27,99;;;INTEGRAL TOP 300;Non remboursés;;;;;;
;3400936366619;;OKIMUS CPR BT40;5,23;5,23;;;INTEGRAL TOP 300;Non remboursés;;;;;;
;3400933531539;;ASPIRINE UPSA 1000MG C.EFFV 20;2,20;2,02;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400938200348;;TIORFANOR 175MG CPR BT12;4,14;3,96;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400932984312;;TEGRETOL LP 400MG CPR BT30;3,23;3,05;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400931824091;;MINIDRIL CPR 21 X3;3,41;3,23;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400932936984;;NATISPRAY 0,15MG BUC FL200DOS;3,20;3,02;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400933148744;;TEGRETOL LP 200MG CPR BT30;1,84;1,66;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400933563585;;NAABAK 4,9% COLLY FL10ML;4,90;4,71;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400936498990;;NICOPASS 1,5MG S/S MENT PAST96;7,52;7,23;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400936758797;;PENTASA 2G GLE SACH 60;61,13;58,75;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;;8032668873001;HYDRAMED NIGHT SENS POM OPHT5G FR;3,91;3,91;;;INTEGRAL TOP 300;Non remboursés;;;;;;
;3400930066249;;LEVOTHYROX 175MCG CPR BT30 EXC;2,86;2,68;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400937701358;;TRANXENE 10MG GELU BT30;2,11;1,93;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400935259097;;NOVORAPID 100U/ML INJ FL10ML 1;11,78;11,32;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400930158074;;LEVOTHYROX 112MCG CPR BT90;5,28;5,07;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400933383084;;LOMEXIN 2% CR TB15G;1,77;1,59;;;INTEGRAL TOP 300;Petits prix;;;;;;
;;4028694001437;HYLOVIS MULTI GEL OCUL 15ML 1;8,49;8,49;;;INTEGRAL TOP 300;Non remboursés;;;;;;
;3400932189465;;LOCOID 0,1% LOT FL30ML;2,35;2,17;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400934125652;;DECAPEPTYL LP11,25MG F+A 1+NEC;244,00;234,51;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400936909915;;VIT B1-B6 BAYER CPR BT40;13,51;13,51;;;INTEGRAL TOP 300;Non remboursés;;;;;;
;3400930206423;;CLOBETASOL SSP 500MCG SHA 125ML;8,66;8,32;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400936440920;;CACIT VIT D3 500 CPR TB60;4,81;4,62;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400937068291;;GELTIM LP 1MG/G GEL OPHT DOS30;5,85;5,62;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400930250426;;QUVIVIQ 50MG CPR BT30;52,61;50,56;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400927620102;;RELVAR ELLIPTA 184/22MCG30DOSX1;26,06;25,05;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400930014035;;RESITUNE 100MG CPR FL30;1,54;1,36;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400932008056;;SINEMET 100MG/10MG CPR BT100;5,51;5,30;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400930292976;;MOUNJARO 15MG INJ STYLO KWIKPEN 1;404,83;389,08;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400933783488;;LOMEXIN 600MG CAPS VAG BT1;3,02;2,84;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930192252;;AURICULARUM AURIC FL+AMP 1;4,77;4,58;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400935279897;;DYNEXAN 2% PATE GGVL TB10G;3,20;3,02;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400936789784;;EFFIZINC 15MG GELU BT60;6,12;5,88;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400930119778;;L-THYROXIN HNG 50MCG CPR BT100;2,73;2,55;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930018064;;SYNJARDY 5MG/1000MG CPR BT60DU;33,70;32,39;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;;3401042329192;OPTIVE GTT LUBR FL10ML T;5,61;5,61;;;INTEGRAL TOP 300;Non remboursés;;;;;;
;3400933521134;;LACRIGEL GEL OPHT TB10G;2,70;2,52;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400935931016;;LIPOSIC GEL OPHT TB10G 1;2,14;1,96;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400934936708;;SOLUPRED 5MG CPR ORODISP BT30;2,14;1,96;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400933696511;;LARMES ARTIF. MARTINET CY 10ML;1,23;1,05;;;INTEGRAL TOP 300;Petits prix;;;;;;
