CIP13;DESIGNATION;PRIX ACHAT U HT
3400930292945;MOUNJARO 10MG INJ STYLO KWIKPEN 1;301,08
3400931358589;PYOSTACINE 500MG CPR BT16;15,92
3400932645503;TOCO 500MG CAPS MOL BT30;2,25
3400930234976;UVEDOSE 50000UI CAPS MOL BT2;1,78
3400934999451;DOLIPRANE 300MG PDR SACH 12;1,12
3400931052838;THERALENE 5MG CPR PELLIC BT50;1,49
3400931187943;FEROGRAD VIT C 500 CPR BT30;1,92
3400930065570;LEVOTHYROX 25MCG CPR BT90 EXC;1,26
3400932285778;STRESAM GELU BT60;6,71
3401040669122;HYLO CONFORT COLLY HYD F10ML T;7,02
3400930084564;ATURGYL 0,05% NAS FL15ML;1,13
3400922179049;OPTILOVA 20MCG/100MCG CPR 28X3;3,23
3400930204887;KLIPAL 600MG/50MG CPR BT12;1,38
3400930216484;TRULICITY 4,5MG INJ STY0,5ML 4;71,39
3400935706140;TIMOFEROL GELU BT30;1,42
3400930260241;WEGOVY 1,7MG FLEX INJ STYLO SC 1;151,25
3400935294227;DOLIPRANE 1000MG CPR EFFV TB8;0,88
3400931898191;ASPEGIC AD. 1000MG BUV SACH 20;2,23
3400931927679;STAGID 700MG CPR BT100;4,92
3400933484132;PREVISCAN 20MG CPR BT30;1,76
3400934223976;XYLOCAINE 10MG/ML S/C FL20ML 1;1,25
3400927350078;HEXYON INJ SRG0,5ML 1 + 1AIG;28,92
3400934809408;DOLIPRANE 150MG SUP BT10;1,03
3400932308293;DIPROSONE 0,05% POM TB30G;2,41
3400934464171;PAROEX 0,12% BAIN BCHE F300ML;2,02
3400936441460;PLAQUENIL 200MG CPR PEL BT30;2,90
3400931533429;POLYDEXA SOL AURIC FL10,5ML;1,48
3400926692100;MELAXOSE PATE ORAL POT P150G+C;3,42
3400934125942;GYDRELLE 0,1% CR VAG TB30G;2,70
3400930016671;TOUJEO 300U SOLOSTAR STY1,5ML3;31,05
3401554372105;SYSTANE BAL GTT OCUL LUB10ML T;8,52
3400931053088;THERALENE 4% BUV GTT FL30ML;1,62
3400931405009;LEPTICUR 10MG CPR BT30;3,52
3400927886768;XIGDUO 5MG/1000MG CPR BT60;32,37
3400934195389;INDOCOLLYRE 0,1% COLLY FL5ML;2,59
3400930195291;BAQSIMI 3MG PDR NAS UNIDOS  1;52,41
3400934035890;ARTELAC 1,6MG/0,5ML CY DOS 60;4,81
3400926784102;ELIQUIS 5MG CPR BT60;52,41
3400930234983;UVEDOSE 50000UI CAPS MOL BT4;3,44
3400930262313;VITABACT 0,05% CY FL GTT10ML 1;3,91
3400930053287;ANTIBIO-SYNALAR AURIC SOL 10ML;1,63
3400934912405;MONAZOL 2% CR TB15G;2,24
3400930121429;LEVOTHYROX 100MCG CPR BT90 EXC;4,54
3400933384616;FLECTOR 1% GEL TB60G - NSFP;1,69
3400930157930;LEVOTHYROX 88MCG CPR BT30;1,41
3400932192946;DUPHASTON 10MG CPR BT10;2,31
3400932320189;DOLIPRANE 500MG CPR BT16;0,88
3400930037911;ENTRESTO 49MG/51MG CPR BT56;98,15
3400934423079;ADRIGYL 10000UI/ML GTT FL10ML;1,32
3400931623298;COLPOTROPHINE CAPS VAG BT20;3,67
3400930037904;ENTRESTO 24MG/26MG CPR BT28;49,06
4028694001499;HYLOVIS MULTI GTT FL15ML 1;8,49
3400926857981;TRESIBA 200U/ML INJ STYL.3ML 3;49,81
3400930247853;PREVENAR 20 INJ SRG0,5ML+AIG 1;50,28
3400936773875;BOOSTRIXTETRA INJ SRG0,5ML+A 1;19,15
3400937722988;LANTUS 100U/ML INJ SOLO3ML 5;32,28
3400934507786;DOLIPRANE 500MG GELU BT16;0,88
3400930158494;COSTEC 20+5MG/ML COLLY FL10ML1;12,13
3400932955107;LOXEN LP 50MG GELU BT60;9,98
3400934809866;DOLIPRANE 200MG SUP BT10;1,03
3400930037928;ENTRESTO 97MG/103MG CPR BT56;98,15
3400930311165;COLCHICINE MYS 1MG CPR BT30;3,06
3664478000015;HYLO LIPID COLLYRE FL3ML1;7,62
3400930573020;LAROXYL 25MG CPR BT60;2,89
3400930066188;LEVOTHYROX 150MCG CPR BT30 EXC;2,32
3400932070268;FLAMMAZINE CR TB50G;2,83
3400930158043;LEVOTHYROX 112MCG CPR BT30;1,77
3400936416628;SEPTIVON 1,5% CUTA FL250ML;1,72
3400937689021;LACRIFLUID 0,13% CY UNIDOS 60;4,81
3400930396988;FERROSTRANE ENF/AD SIR F125ML1;2,01
3400930271216;DIPROSALIC LOT FL30ML;2,25
3400930252512;NEFOPAM PANP 30MG CPR PEL BT30;8,84
3400931136446;VIT B12 GERDA 250MCG CPR FL24;5,50
3400927619960;RELVAR ELLIPTA 92/22MCG 30DOSX1;25,05
3400930108611;BETADINE SCRUB SOL FP125ML;1,33
3400934809118;DOLIPRANE 100MG SUP BT10;1,03
3400930145951;LEVOFREE 0,05% COLLY FL5ML 1;4,64
3400932046546;CYTEAL SOL MOUSS FP250ML;2,21
3400930240595;RYALTRIS 25MCG/600MCG/DOS F30ML1;8,99
3400933397562;KEAL 1G SUSP BUV SACH5ML 30;7,89
3400930271209;DIPROSONE 0,05% LOT FL30ML;2,41
3400949250318;ZALERG 0,25MG/ML COLLY FL5ML;4,25
3400930258637;WEGOVY 0,5MG FLEX INJ STYLO SC 1;131,19
3400941945670;ELIQUIS 2,5MG CPR BT60;52,41
3400930079782;VAXELIS INJ SRG0,5ML 1 +1AIG;28,35
3400931499787;BETADINE 10% SOL LOC FL125ML;1,48
3400930024119;SOOLANTRA 10MG/G CR TB30G 1;25,82
3400926752682;OPTIDRIL 30MCG/150MCG CPR 28X3;3,23
3400930652534;MAXIDROL COLLY FL3ML;1,48
3400935887559;SERESTA 10MG CPR BT30;0,96
3400930313244;ASARED 75MG CPR BT30;1,36
3400930040072;ABASAGLAR 100U STY(1-80U) 3ML5;29,98
3400935166906;ENGERIX B 20MCG SRG.BACK.1ML 1;13,94
3400932637119;RHINOFLUIMUCIL NAS FL NEB 10ML;4,66
3400930322154;OZEMPIC 0,5MG INJ STYLO3ML 1;68,23
3400932487813;HAVLANE CPR BT20;2,00
3400934429972;TOBRADEX COLLY FL5ML;1,90
3400933018023;DEPAKINE CHRONO 500MG CPR TB30;5,96
3400932748501;AMYCOR 1% CR LOC TB15G;2,71
3400936497931;VOGALENE 5MG SUP SECAB BT10;1,12
3400930632192;LUMIRELAX 500MG CPR BT20;7,42
3400937071024;RINOCLENIL 100MCG NAS PULV120D.;4,70
3614790001054;NEREYA COLLY 0,24% FL10ML;6,21
3400932855520;EXACYL 500MG CPR PELLIC BT20;2,34
3400932781737;LOXEN 20MG CPR BT30;3,21
3400936366848;MONOSEPT COLLY DOS 30;2,46
3400932399482;SURGAM 200MG CPR BT15;1,69
3400934810176;DOLIPRANE 300MG SUP BT10;1,03
3662042003615;BLEPHACLEAN COMP STER PAUP 20;8,93
3400932223794;NERISONE CR TB30G;1,93
3400934136139;XOLAAM CPR CROQ BT40;1,50
3400936918498;DIASEPTYL 0,5% SOL PULV 125ML;2,35
3400927956478;DULCILARMES 1,5% COLLY DOS 60;4,81
3400930121443;LEVOTHYROX 125MCG CPR BT90 EXC;5,64
3400933316778;DAFALGAN CODEINE CPR EFFV TB16;1,38
3400930514177;HYDROCORTISONE RSL 10MG CPR 25;1,61
3400930270295;SULFARLEM S 25MG CPR BT90;3,72
3400933728489;PREXIDINE 0,12% BAIN BCHE200ML;1,82
3400932350865;KAYEXALATE PDR BT454G;18,91
3400937415187;CARDIOCALM CPR BT80;6,09
3400930014066;RESITUNE 100MG CPR FL90;3,84
3400930151099;OZEMPIC 0,5MG INJ STYLO1,5ML 1 - RP 3032215;68,23
3400930157954;LEVOTHYROX 88MCG CPR BT90;4,00
3400932964499;FURADANTINE 50MG GELU BT21;2,55
3400934064357;SPAGULAX MUCILAGE PUR GLE S.20;5,63
3400935656070;AERIUS 5MG CPR BT30;2,95
3400933727369;TERALITHE LP 400MG CPR BT60;9,54
3400930305270;DIAMOX 250MG CPR SECAB BT24;3,18
3400934424021;TRANSIPEG 5,9G BUV SACH 20;2,30
3400930119792;L-THYROXIN HNG 75MCG CPR BT100;3,82
3400930512685;HYDREA 500MG GELU BT20;3,12
3400930013953;RESITUNE 75MG CPR FL30;1,36
3400936874633;TETRAVAC-ACELLULAIRE SRG 1 S/S AIG+1 AIG SEP;11,48
3400930095645;SOFTACORT 3,35MG/ML CY DOS 30;11,85
3400938322446;AVAMYS 27,5MCG/PULV NAS 120DOS1;4,59
3400931714811;VOGALENE 0,1% BUV FL150ML;2,10
