CIP7;CIP13;EAN13;Laboratoire;Gamme;Libellé;TVA;Prix A HT;Remise1;Colisage;QteMin
;;3770011742486;AAZ;Non renseigné;AAZ CYSTI'TEST Kit hygiénique dépistage de cystite 4 paramètres b/25 test;0.2;56.95;0.1;1;1
;;3770011742660;AAZ;Non renseigné;AAZ TROD'DENGUE Test antigénique combiné de la dengue B/20;0.2;87;0.05;1;1
;;3770011742677;AAZ;Non renseigné;AAZ GRIPP/COVID ALL IN DUO AUTOT 1;0.2;5.25;0.15;123;1
;;3770011742691;AAZ;Non renseigné;AAZ TROD'ANGINE Kit Unidose de depistage angines à strepto. A, B/25 tests;0.2;25.5;0.1;27;1
;;3770011742844;AAZ;Non renseigné;AAZ - CANNABIS ALL IN - AUTOTEST SALIVAIRE UNITAIRE;0.2;5.28;0.05;123;1
;;3770011742882;AAZ;Non renseigné;AAZ Cannabis ALL'In Autotest Salivaire Presentoir x 12;0.2;62.64;0.05;8;1
;;8698973762487;AAZ;Non renseigné;AAZ THERMO'CHECK Thermom frontal B/1;0.2;34.9;0.47;50;1
4563556;3401045635566;0762860191099;AAZ;Non renseigné;AeroChamber Plus* embout buccal à partir de 6 ans;0.2;9.53;0.22;99;1
8139973;;6416842328006;AAZ;Non renseigné;AUTOTEST gluten® Bte/1;0.2;14.95;0.1;24;1
9556621;3401095566216;0762860291065;AAZ;Non renseigné;AeroChamber Plus * Masque pour Enfants 1-5 ans inclus;0.2;9.53;0.22;70;1
9556638;3401095566384;0762860391062;AAZ;Non renseigné;AeroChamber Plus* Masque pour Nourrissons 0-18 mois;0.2;9.53;0.22;70;1
9702436;3401097024363;5021791709694;Abbott Diabetes Care;Non renseigné;FREESTYLE PAPILLON EASY Bdlette Fl/50x2;0.055;33.14;0.15;12;1
9972489;3401099724896;5021791987603;Abbott Diabetes Care;Non renseigné;FREESTYLE OPTIUM Electrod B/100;0.055;36.75;0.15;1;1
;3401060060718;;Abbvie Pharmaceuticals;Non renseigné;OPTIVE FUSION S ocul Fl/10ml;0.2;6.41;0.14;144;1
;3401060247720;;Abbvie Pharmaceuticals;Non renseigné;OPTIVE FUSION UD S ophtalm 30Unidoses/0,4ml;0.2;8.24;0.14;64;1
4232919;3401042329192;;Abbvie Pharmaceuticals;Non renseigné;OPTIVE S ocul lubrif osmoprotect Fl/10ml;0.2;6.41;0.14;288;1
2067445;3401320674457;3760177500716;Abiocom;Non renseigné;SILAGIC Gel silicium organique articul T/50ml+25ml;0.2;8.2;0.25;18;1
6003603;3401560036039;3401560036039;Abiocom;Non renseigné;SILAGIC Silicium organique végét S buv Fl/1l;0.055;17.8;0.25;6;1
6507622;3401565076221;3401565076221;Abiocom;Non renseigné;SILAGIC Gel silicium organique T/150ml;0.2;16.7;0.25;45;1
;;3664604045903;Abm Pharma;Non renseigné;Oreiller cervical 50 x 30 x 10,5 cm (L x l x;0.2;22.9;0;1;3
;;3664604062887;Abm Pharma;Non renseigné;Pilulier hebdomadaire pochette;0.2;8.5;0;1;10
;;3701127753592;Abm Pharma;Non renseigné;1 pack de 10 cannes de marche panachées;0.1;79.9;0;1;1
;;5703538500312;Abm Pharma;Non renseigné;PROTEGE SEAU + COUSSIN ABSORBANT;0.2;9.3;0;0;10
;3401563200888;;Abm Pharma;Non renseigné;Oreiller curve Athenax 60 x 40 x 10 cm (L x l;0.2;24.92;0;1;3
;;0190446323501;Abm Pharma;VENTES;Électrostimulateur Cefar Tens;0.2;129;0;1;3
;;3662050045737;Abm Pharma;VENTES;Fauteuil roulant Action 2 NG dossier inclinab;0.055;239.9;0;1;2
;;3662050045751;Abm Pharma;VENTES;Fauteuil roulant Action 2 NG dossier inclinab;0.055;239.9;0;1;2
;;3662050045775;Abm Pharma;VENTES;Fauteuil roulant Action 2 NG dossier inclinab;0.055;239.9;0;1;2
;;3662050045799;Abm Pharma;VENTES;Fauteuil roulant Action 2 NG dossier inclinab;0.055;239.9;0;1;2
;;3662050168566;Abm Pharma;VENTES;Fauteuil roulant Action 2 NG dossier inclinab;0.055;239.9;0;1;2
;;3664390156234;Abm Pharma;VENTES;Rollator 4 roue ultra léger coloris bleu ciel;0.1;135.9;0;1;1
;;3664390159990;Abm Pharma;VENTES;AIRFORCE MAX Compresseur nébuliseur;0.2;69.9;0;1;6
;;3664390161191;Abm Pharma;VENTES;Canne de marche Pliante HURRYCANE Noir;0.1;12.9;0;1;4
;;3664390161207;Abm Pharma;VENTES;Canne de marche Pliante HURRYCANE Bleu;0.1;12.9;0;1;4
;;3664390161214;Abm Pharma;VENTES;Canne de marche Pliante HURRYCANE Violet;0.1;12.9;0;1;4
;;3664390165069;Abm Pharma;VENTES;Kit nebuliseur Evo AirForce Max - Embout bucc;0.2;3.99;0;1;25
;;3664390165076;Abm Pharma;VENTES;AIRFORCE MAX Masque nébuliseur adulte B/1;0.2;3.99;0;1;25
;;3664390165083;Abm Pharma;VENTES;AIRFORCE MAX Masque nébuliseur enfant B/1;0.2;3.99;0;1;25
;;3664390165717;Abm Pharma;VENTES;Rollator 4 roues Ultralight coloris noir;0.1;135.9;0;1;1
;;3664390168572;Abm Pharma;VENTES;Chaise garde-robe de douche et de toilette - 130 kg;0.2;72.9;0;1;2
;;3664390171282;Abm Pharma;VENTES;Fauteuil de transfert STAN UP bronze T 40 cm;0.055;169.9;0;1;1
;;3664390171299;Abm Pharma;VENTES;Fauteuil de transfert STAN UP bronze T 43 cm;0.055;169.9;0;1;1
;;3664390171305;Abm Pharma;VENTES;Fauteuil de transfert STAN UP bronze T 48 cm;0.055;169.9;0;1;1
;;3664390171312;Abm Pharma;VENTES;Fauteuil de transfert STAN UP bronze T 51 cm;0.055;169.9;0;1;1
;;3664897027020;Abm Pharma;VENTES;MATELAS NOVAFORM 120 - 120 CM;0.2;220.9;0;1;1
;;3664897027044;Abm Pharma;VENTES;Matelas CL. II compressé - 140 cm;0.2;229.9;0;1;1
;;3700446041809;Abm Pharma;VENTES;Oxymetre de pouls oxystart®avec dragonne;0.2;18.9;0;1;3
;;3700901328865;Abm Pharma;VENTES;GANTS DE TOILETTE USAGE UNIQUE 15X22 B/50 ABM;0.2;1.75;0;1;25
;;3701126700337;Abm Pharma;VENTES;Inhalateur en plastique - livraison sous 15 jours;0.2;2.75;0;1;30
;;3701126718844;Abm Pharma;VENTES;Pilulier hebdomadaire - livraison sous 15 jours;0.2;5.2;0;1;20
;;3701127708493;Abm Pharma;VENTES;CHAISE GARDE ROBE NEW CLUB;0.2;54.9;0;1;3
;;3701127708721;Abm Pharma;VENTES;ALFA GREEN Canne maginot pliante noire avec étui;0.1;8.9;0;1;6
;;3701127708738;Abm Pharma;VENTES;Canne de marche réglable poignée Béquillon coloris bronze - 120 kg;0.1;7;0;1;6
;;3701127710397;Abm Pharma;VENTES;ACHAT CANNE T BI MATIERE BLEUE;0.2;8.9;0;1;6
;;3701127717181;Abm Pharma;VENTES;Rollator 4 roues avec sangle dorsale - 136 kg;0.1;119;0;1;1
;;3701127723700;Abm Pharma;VENTES;Chaise de douche et de toilette à roulettes - 110 kg;0.2;138.33;0;1;1
;;3701127726190;Abm Pharma;VENTES;Rollator 4 roues avec barre dorsale - 130 kg;0.1;84.9;0;1;1
;;3701127751789;Abm Pharma;VENTES;HERDEGEN Canne fashion Pack/10;0.1;79.9;0;1;1
;;3701127751833;Abm Pharma;VENTES;CANNE ANGLAISE ADVANCE BI-MATIERE ROUGE;0.1;6.69;0;0;20
