CIP7;CIP13;EAN13;Prix A HT;Remise1;Libellé;Colisage
9514060;3401595140602;3574660502510;19.24;0.2;CICABIAFINE Bme hydrat corp PTS Bt ppe/400ml;1
9514048;3401395140482;3574660504279;15.29;0.2;CICABIAFINE Cr hydrat anti-irrit T/200ml;1
9514054;3401395140543;3574660504293;7.57;0.2;CICABIAFINE Cr mains répar intense T/75ml;1
3853559;3400938535594;;4.6;0.1;HUMEX 0,30/0,03g p100ml Collut m gorg Fl/35ml;1
3857190;3400938571905;;4.05;0.2;IMODIUMCAPS 2 mg Gél B/12;1
4857387;3401048573872;;9.72;0.32;PRORHINEL Mche-BB ergonomique cplt;1
3873757;3400938737578;;14.87;0;LERCAPRESS 20 mg/10 mg Cpr pell Plq/90;1
3859639;3400938596397;;5.22;0;LERCAPRESS 20 mg/10 mg Cpr pell Plq/30;1
9514752;3401095147521;4056649512820;10.61;0.75;COTOPADS Cot déma rectangl Sach/200;1
5386257;3401553862577;3518681006473;27.6;0.3;GRANIONS S VEINOMIX Cpr B/60;1
2548558;3401525485582;;12.65;0.16;HYDRALIN QUOTIDIEN Sol us intime 2Fl/200ml;1
4822213;;8716900578786;9.68;0.36;FORTIMEL JUCY Nutrim fraise 4Bout/200ml;1
4822236;;8716900578885;9.68;0.36;FORTIMEL JUCY Nutrim orange 4Bout/200ml;1
4822242;;8716900578663;9.68;0.36;FORTIMEL JUCY Nutrim pomme 4Bout/200ml;1
4822199;;8716900578991;9.68;0.36;FORTIMEL JUCY Nutrim tropical 4Bout/200ml;1
9527878;3401595278787;7610108044573;7.95;0.25;MERIDOL HALITOSIS Bain bch Fl/400ml;1
3859697;3400938596977;;1.52;0.2;LORATADINE ARROW CONSEIL 10 mg Cpr Plq/7;1
3838011;3400938380118;;18.41;0.07;NICOTINE EG 7 mg/24 h Disp transderm 28Sach/1;1
3838057;3400938380576;;18.41;0.07;NICOTINE EG 14 mg/24 h Disp transderm 28Sach/1;1
3838100;3400938381009;;18.41;0.07;NICOTINE EG 21 mg/24 h Disp transderm 28Sach/1;1
2592571;3401325925714;3094904756986;9.2;0.28;SENSODYNE PRO Pâte dtf Classic dt sens2T/75ml;1
9585255;;3433422408159;11.55;0.17;*EFFACLAR Lot astring Fl/200ml;1
2137335;3401521373357;;27.84;0.25;PURESSENTIEL SOMMEIL DETENTE Spray Fl/200ml;1
3891991;3400938919912;;10.83;0;NICOTINELL 1 mg Cpr à sucer menthe Plq/144;1
9530892;3401595308927;;16.22;0.35;ISOXAN ACTIFLASH Cpr eff B/28;1
3851371;3400938513714;3528285210923;10.54;0.2;STREPSILS lidocaïne Past Plq/36;1
3851218;3400938512182;;9.55;0.2;STREPSILS Past à sucer miel citron Plq/36;1
3817115;3400938171150;;5.14;0.24;ADVIL 400 mg Cpr enr Plq/14;1
4808354;3401548083543;3323034808358;6.68;0.15;ECRINAL ONGLES Sérum répar 10 hles préc 10ml;1
4796504;3401347965040;3663555002256;11.02;0.21;COMPEED Stick anti-ampoule B/1;1
3848788;3400938487886;;258.95;0;REYATAZ 300 mg Gél Fl/30;1
4696180;3401346961807;3596204696189;5.93;0.18;WELEDA SOINS BB Cr lav corp ch Calend 200ml;1
3391946;3400933919467;;12.67;0;SEREVENT DISKUS 50 µg/dose Pdr inh Distrib/60d;1
4704761;;4042809073423;5.83;0.3;TENSOBAN Bde msse pol 10cmx20m;1
3852560;3400938525601;;9.61;0;PRADAXA 75 mg Gél Plq/30x1;1
3852620;3400938526202;;19.21;0;PRADAXA 110 mg Gél Plq/60x1;1
4784889;3401347848893;;8.69;0.16;HYDRALIN SECHERESSE Emul mous us int Fl/20;1
3845689;3400938456899;;14.11;0;ACTONEL 75 mg Cpr pell Plq/2;1
3845703;3400938457032;;42.33;0;ACTONEL 75 mg Cpr pell Plq/6;1
2593180;3401325931807;3433425000596;16.6;0.2;*VICHY Déod anti-transp 2Billes/50ml;1
2593168;3401325931685;3337871324728;16.6;0.2;*VICHY Déod Psens 2Billes/50ml;1
4698233;;5038483494905;8.5;0.1;SCHOLL Pansements coricides cors Bte/8;1
9503174;3401595031740;3323039503173;7.99;0.15;CICALEINE Bme pieds talons T/50ml;1
9536989;3401395369890;3337871320980;10.2;0.13;VICHY PURETE THER Eau mouss nettoy 150ml;1
4507345;;7630019903370;5.6;0.15;A. 2114 PROXABRUSH Brsset in-dent ultra mi;1
9508409;;8712400360364;9;0.38;FORTIMEL DIACARE Nutrim fraise 4Bout/200ml;1
9508390;;8712400360357;9;0.38;FORTIMEL DIACARE Nutrim vanille 4Bout/200ml;1
7126968;3401571269686;;10.21;0.15;MUCOGYNE Gel vag lubrif us intim T/40ml;1
3463054;3400934630545;;66.66;0;NEORAL 50 mg Caps molle B/60;1
7476214;3401374762148;3574660085563;5.63;0.2;NEUTROGENA Lèvres Stick/4,8g;1
2677497;3400926774974;;14.56;0;METOJECT 15 mg/0,3 ml S inj en seringue préremplie Ser/0,3ml+Aig;1
3841438;3400938414387;;8.94;0.2;BAUME AROMA Cr T/100g;1
5360602;3401553606027;;14.38;0.16;BEROCCA BOOST Cpr eff B/20;1
4788338;3401347883382;7612076448254;10.4;0.25;DAYLONG EXTREME SPF50+ Lot sol T/50ml;1
3302888;3400933028886;;6.37;0.16;RENNIE sans sucre Cpr à croquer Plq/36;1
3302902;3400933029029;;8.37;0.16;RENNIE sans sucre Cpr à croquer B/60;1
7228829;3401572288297;;9.15;0.19;SEBIUM H20 Sol Mic s sa nettoy PG Fl/250ml;1
7515977;3401375159770;3282779255059;8.5;0.15;AVENE COLD CREAM Pain surgras vis/corps2x100g;1
7245176;;4042809000641;3.74;0.3;HYPAFIX Sparad 10cmx5m;1
3344562;3400933445621;;6.9;0.25;DESOMEDINE 0,1 % S pulv nas Spray/10ml;1
3828662;3400938286625;;6.17;0.24;ADVILCAPS 400 mg Caps molle Plaq/14;1
3841421;3400938414219;;5.71;0.2;NUROFEN 200 mg Cpr enr Plq/30;1
3832706;3400938327069;;3.33;0.5;IBUPROF SDZ CO 400mg Cpr pell Plq/15;1
3397251;3400933972516;;88.65;0;INNOHEP 10 000 UI anti-Xa/0,5 ml S inj SC 10Ser/0,5ml;1
3397280;3400933972806;;110.16;0;INNOHEP 14 000 UI anti-Xa/0,7 ml S inj SC 10Ser/0.7ml;1
3414742;3400934147425;;28.67;0;FEMARA 2,5 mg Cpr pell B/30;1
6034052;;8716900561474;13.54;0.34;FORTIMEL PROTEIN Nutrim fraise 4Bout/200ml;1
3816297;3400938162974;;4.27;0.24;ADVILCAPS 200 mg Caps molle Plq/16;1
3407512;3400934075124;;12.32;0;NITRIDERM TTS 15 mg/24 h Disp transderm 30Sach;1
2537916;3401525379164;4007965507335;10.55;0.25;ELMEX ANTI-CARIES Pâte dentifrice 2T/75ml;1
7717712;3401577177121;7610108015580;4.3;0.25;ELMEX ANTI-CARIES Pâte dtf 2T/12ml;1
3500861;3400935008619;8710604763431;7.61;0.15;FLUOCARIL bi-fluoré 250 mg Pâte dentifrice menthe T/125ml;1
3500849;3400935008497;8710604763493;5.95;0.15;FLUOCARIL bi-fluoré 250 mg Pâte dentifrice menthe T/75ml;1
7684177;3401376841773;8002110383709;7.13;0.2;NEUTROGENA Cr mains non parf T/50ml;1
3496763;3400934967634;;5.86;0.32;PRORHINEL S nas rhume 20Amp/5ml;1
3445613;3400934456138;;5.1;0;TILCOTIL 20 mg Cpr pell séc Plq/15;1
3222770;3400932227709;;3.02;0;LOXAPAC 25 mg Cpr pell Plq/30(2x15);1
3442678;3400934426780;;8.16;0.37;NAABAK 19,6 mg/0,4 ml Collyre récip unidose 10unid;1
